cs/9810011v1,1998-10-12T10:11:05Z,Flysig: Dataflow Oriented Delay-Insensitive Processor for Rapid   Prototyping of Signal Processing,Bernd Kleinjohann,cs.AR,http://arxiv.org/pdf/cs/9810011v1
cs/0111029v1,2001-11-09T15:08:12Z,Versatile Data Acquisition and Controls for Epics Using Vme-Based Fpgas,R. Flood,cs.AR,http://arxiv.org/pdf/cs/0111029v1
cs/0111030v1,2001-11-09T16:04:17Z,A Dual Digital Signal Processor VME Board For Instrumentation And   Control Applications,J. Musson,cs.AR,http://arxiv.org/pdf/cs/0111030v1
cs/0111032v1,2001-11-09T19:08:57Z,SNS Timing System,C. Sibley,cs.AR,http://arxiv.org/pdf/cs/0111032v1
cs/0207012v1,2002-07-04T04:30:30Z,Synthesis of Low-Power Digital Circuits Derived from Binary Decision   Diagrams,Denis V. Popel,cs.AR,http://arxiv.org/pdf/cs/0207012v1
cs/0207014v1,2002-07-04T04:55:42Z,On the Information Engine of Circuit Design,Nawar Al-Hakeem,cs.AR,http://arxiv.org/pdf/cs/0207014v1
cs/0405015v1,2004-05-05T01:56:22Z,A High-Level Reconfigurable Computing Platform Software Frameworks,Andreas Weisensee,cs.AR,http://arxiv.org/pdf/cs/0405015v1
cs/0407019v2,2004-07-08T06:52:37Z,Stochastic fuzzy controller,Franc Jurkovic,cs.AR,http://arxiv.org/pdf/cs/0407019v2
cs/0407032v1,2004-07-13T08:24:37Z,Exposing Software Defined Radio Functionality To Native Operating System   Applications via Virtual Devices,Darran Nathan,cs.AR,http://arxiv.org/pdf/cs/0407032v1
cs/0409025v1,2004-09-13T11:08:09Z,Topics in asynchronous systems,Serban E. Vlad,cs.AR,http://arxiv.org/pdf/cs/0409025v1
cs/0412040v1,2004-12-09T22:10:48Z,Data-stationary Architecture to Execute Quantum Algorithms Classically,J. R. Burger,cs.AR,http://arxiv.org/pdf/cs/0412040v1
cs/0503066v1,2005-03-24T12:36:07Z,A Practical Approach for Circuit Routing on Dynamic Reconfigurable   Devices,Jan van der Veen,cs.AR,http://arxiv.org/pdf/cs/0503066v1
cs/0508038v1,2005-08-04T17:35:38Z,Quantum Algorithm Processor For Finding Exact Divisors,John Robert Burger,cs.AR,http://arxiv.org/pdf/cs/0508038v1
cs/0510039v1,2005-10-14T22:03:45Z,DyNoC: A Dynamic Infrastructure for Communication in Dynamically   Reconfigurable Devices,Jan van der Veen,cs.AR,http://arxiv.org/pdf/cs/0510039v1
cs/0602096v1,2006-02-27T18:59:39Z,Difficulties in the Implementation of Quantum Computers,Abhilash Ponnath,cs.AR,http://arxiv.org/pdf/cs/0602096v1
cs/0603088v1,2006-03-22T18:11:40Z,Novel BCD Adders and Their Reversible Logic Implementation for IEEE 754r   Format,M. B Srinivas,cs.AR,http://arxiv.org/pdf/cs/0603088v1
cs/0603091v1,2006-03-23T06:44:34Z,A New Reversible TSG Gate and Its Application For Designing Efficient   Adder Circuits,M. B Srinivas,cs.AR,http://arxiv.org/pdf/cs/0603091v1
cs/0603092v1,2006-03-23T08:33:08Z,An Extension to DNA Based Fredkin Gate Circuits: Design of Reversible   Sequential Circuits using Fredkin Gates,M. B Srinivas,cs.AR,http://arxiv.org/pdf/cs/0603092v1
cs/0605004v1,2006-05-01T09:34:32Z,Novel Reversible Multiplier Architecture Using Reversible TSG Gate,M. B Srinivas,cs.AR,http://arxiv.org/pdf/cs/0605004v1
cs/0605125v1,2006-05-26T18:43:13Z,Combinational Logic Circuit Design with the Buchberger Algorithm,Germain Drolet,cs.AR,http://arxiv.org/pdf/cs/0605125v1
cs/0605142v1,2006-05-30T15:04:18Z,Intégration de la synthèse mémoire dans l'outil de   synthèse d'architecture GAUT Low Power,Eric Martin,cs.AR,http://arxiv.org/pdf/cs/0605142v1
cs/0605143v1,2006-05-30T15:07:51Z,High-level synthesis under I/O Timing and Memory constraints,Eric Martin,cs.AR,http://arxiv.org/pdf/cs/0605143v1
cs/0605144v1,2006-05-30T15:09:18Z,A Memory Aware High Level Synthesis Too,Eric Martin,cs.AR,http://arxiv.org/pdf/cs/0605144v1
cs/0605145v1,2006-05-30T15:09:32Z,Memory Aware High-Level Synthesis for Embedded Systems,Eric Martin,cs.AR,http://arxiv.org/pdf/cs/0605145v1
cs/0605146v1,2006-05-30T15:10:57Z,Synthèse Comportementale Sous Contraintes de Communication et de   Placement Mémoire pour les composants du TDSI,Eric Martin,cs.AR,http://arxiv.org/pdf/cs/0605146v1
cs/0608075v1,2006-08-18T13:12:55Z,Design of multimedia processor based on metric computation,Mohamed Abid,cs.AR,http://arxiv.org/pdf/cs/0608075v1
cs/0609023v1,2006-09-06T16:09:04Z,Novel Reversible TSG Gate and Its Application for Designing Components   of Primitive Reversible/Quantum ALU,M. B. Srinivas,cs.AR,http://arxiv.org/pdf/cs/0609023v1
cs/0609028v1,2006-09-07T14:18:41Z,VLSI Implementation of RSA Encryption System Using Ancient Indian Vedic   Mathematics,M. B Srinivas,cs.AR,http://arxiv.org/pdf/cs/0609028v1
cs/0609029v1,2006-09-07T14:25:21Z,Reversible Programmable Logic Array (RPLA) using Fredkin & Feynman Gates   for Industrial Electronics and Applications,Hamid R. Arabnia,cs.AR,http://arxiv.org/pdf/cs/0609029v1
cs/0609036v1,2006-09-08T05:36:20Z,Reduced Area Low Power High Throughput BCD Adders for IEEE 754r Format,M. B Srinivas,cs.AR,http://arxiv.org/pdf/cs/0609036v1
cs/0610090v1,2006-10-14T10:39:42Z,Combined Integer and Floating Point Multiplication Architecture(CIFM)   for FPGAs and Its Reversible Logic Implementation,A. P Vinod,cs.AR,http://arxiv.org/pdf/cs/0610090v1
0706.1692v1,2007-06-12T13:45:50Z,A Methodology for Efficient Space-Time Adapter Design Space Exploration:   A Case Study of an Ultra Wide Band Interleaver,Eric Martin,cs.AR,http://arxiv.org/pdf/0706.1692v1
0706.2732v1,2007-06-19T14:18:57Z,A Design Methodology for Space-Time Adapter,Eric Martin,cs.AR,http://arxiv.org/pdf/0706.2732v1
0706.2824v1,2007-06-19T15:56:43Z,Méthodologie de modélisation et d'implémentation d'adaptateurs   spatio-temporels,Eric Martin,cs.AR,http://arxiv.org/pdf/0706.2824v1
0707.1151v6,2007-07-09T19:26:06Z,"Logic, Design & Organization of PTVD-SHAM; A Parallel Time Varying &   Data Super-helical Access Memory",P. B. Alipour,cs.AR,http://arxiv.org/pdf/0707.1151v6
0710.3443v1,2007-10-18T06:57:52Z,DPA on quasi delay insensitive asynchronous circuits: formalization and   improvement,F. Germain,cs.AR,http://arxiv.org/pdf/0710.3443v1
0710.3535v2,2007-10-18T15:26:32Z,JANUS: an FPGA-based System for High Performance Scientific Computing,J. L. Velasco,cs.AR,http://arxiv.org/pdf/0710.3535v2
0710.3789v1,2007-10-19T20:59:53Z,Frequency Analysis of Decoupling Capacitors for Three Voltage Supplies   in SoC,Mohd Abubakr,cs.AR,http://arxiv.org/pdf/0710.3789v1
0710.4630v1,2007-10-25T08:07:11Z,CAFFEINE: Template-Free Symbolic Model Generation of Analog Circuits via   Canonical Form Functions and Genetic Programming,Georges Gielen,cs.AR,http://arxiv.org/pdf/0710.4630v1
0710.4632v1,2007-10-25T08:07:52Z,Hardware Support for Arbitrarily Complex Loop Structures in Embedded   Applications,Spiridon Nikolaidis,cs.AR,http://arxiv.org/pdf/0710.4632v1
0710.4634v1,2007-10-25T08:08:50Z,A Probabilistic Collocation Method Based Statistical Gate Delay Model   Considering Process Variations and Multiple Input Switching,Janet Wang,cs.AR,http://arxiv.org/pdf/0710.4634v1
0710.4636v1,2007-10-25T08:09:23Z,Why Systems-on-Chip Needs More UML like a Hole in the Head,Campbell Mccausland,cs.AR,http://arxiv.org/pdf/0710.4636v1
0710.4638v1,2007-10-25T08:10:40Z,Buffer Insertion for Bridges and Optimal Buffer Sizing for Communication   Sub-System of Systems-on-Chip,Eugene A. Feinberg,cs.AR,http://arxiv.org/pdf/0710.4638v1
0710.4639v1,2007-10-25T08:11:06Z,Modeling the Non-Linear Behavior of Library Cells for an Accurate Static   Noise Analysis,Davide Pandini,cs.AR,http://arxiv.org/pdf/0710.4639v1
0710.4644v1,2007-10-25T08:18:14Z,Cycle Accurate Binary Translation for Simulation Acceleration in Rapid   Prototyping of SoCs,Wolfgang Rosenstiel,cs.AR,http://arxiv.org/pdf/0710.4644v1
0710.4645v1,2007-10-25T08:19:34Z,At-Speed Logic BIST for IP Cores,S. Wu,cs.AR,http://arxiv.org/pdf/0710.4645v1
0710.4646v1,2007-10-25T08:20:27Z,Fast Dynamic Memory Integration in Co-Simulation Frameworks for   Multiprocessor System on-Chip,G. Palermo,cs.AR,http://arxiv.org/pdf/0710.4646v1
0710.4649v1,2007-10-25T08:24:02Z,Stochastic Power Grid Analysis Considering Process Variations,Janet Wang,cs.AR,http://arxiv.org/pdf/0710.4649v1
0710.4652v1,2007-10-25T08:31:15Z,Locality-Aware Process Scheduling for Embedded MPSoCs,Guilin Chen,cs.AR,http://arxiv.org/pdf/0710.4652v1
0710.4653v1,2007-10-25T08:32:08Z,Simultaneous Reduction of Dynamic and Static Power in Scan Structures,Zainalabedin Navabi,cs.AR,http://arxiv.org/pdf/0710.4653v1
0710.4654v1,2007-10-25T08:33:14Z,Modeling Interconnect Variability Using Efficient Parametric Model Order   Reduction,Sani R. Nassif,cs.AR,http://arxiv.org/pdf/0710.4654v1
0710.4655v1,2007-10-25T08:34:09Z,A Fast Diagnosis Scheme for Distributed Small Embedded SRAMs,Andre Ivanov,cs.AR,http://arxiv.org/pdf/0710.4655v1
0710.4656v1,2007-10-25T08:34:32Z,A Memory Hierarchical Layer Assigning and Prefetching Technique to   Overcome the Memory Performance/Energy Bottleneck,Antonios Thanailakis,cs.AR,http://arxiv.org/pdf/0710.4656v1
0710.4657v1,2007-10-25T08:34:59Z,New Schemes for Self-Testing RAM,A. Labunetz,cs.AR,http://arxiv.org/pdf/0710.4657v1
0710.4659v1,2007-10-25T08:35:37Z,Synchronization Processor Synthesis for Latency Insensitive Systems,Emmanuel Boutillon,cs.AR,http://arxiv.org/pdf/0710.4659v1
0710.4660v1,2007-10-25T08:36:55Z,Thermal-Aware Task Allocation and Scheduling for Embedded Systems,M. J. Irwin,cs.AR,http://arxiv.org/pdf/0710.4660v1
0710.4661v1,2007-10-25T08:37:31Z,Bright-Field AAPSM Conflict Detection and Correction,A. Zelikovsky,cs.AR,http://arxiv.org/pdf/0710.4661v1
0710.4663v1,2007-10-25T08:41:06Z,Statistical Modeling of Pipeline Delay and Design of Pipeline under   Process Variation to Enhance Yield in sub-100nm Technologies,Kaushik Roy,cs.AR,http://arxiv.org/pdf/0710.4663v1
0710.4665v1,2007-10-25T08:43:31Z,New Perspectives and Opportunities From the Wild West of Microelectronic   Biochips,Roberto Guerrieri,cs.AR,http://arxiv.org/pdf/0710.4665v1
0710.4669v1,2007-10-25T08:45:18Z,SOC Testing Methodology and Practice,Cheng-Wen Wu,cs.AR,http://arxiv.org/pdf/0710.4669v1
0710.4670v1,2007-10-25T08:45:52Z,Evolutionary Optimization in Code-Based Test Compression,Bernd Becker,cs.AR,http://arxiv.org/pdf/0710.4670v1
0710.4671v1,2007-10-25T08:46:59Z,An Application-Specific Design Methodology for STbus Crossbar Generation,Giovanni De Micheli,cs.AR,http://arxiv.org/pdf/0710.4671v1
0710.4672v1,2007-10-25T08:47:40Z,Yield Enhancement of Digital Microfluidics-Based Biochips Using Space   Redundancy and Local Reconfiguration,Vamsee K. Pamula,cs.AR,http://arxiv.org/pdf/0710.4672v1
0710.4673v1,2007-10-25T08:48:12Z,Design of Fault-Tolerant and Dynamically-Reconfigurable Microfluidic   Biochips,Krishnendu Chakrabarty,cs.AR,http://arxiv.org/pdf/0710.4673v1
0710.4678v1,2007-10-25T09:02:53Z,CMOS-Based Biosensor Arrays,H. -C. Hanke,cs.AR,http://arxiv.org/pdf/0710.4678v1
0710.4679v1,2007-10-25T09:03:13Z,DVS for On-Chip Bus Designs Based on Timing Error Correction,Todd Austin,cs.AR,http://arxiv.org/pdf/0710.4679v1
0710.4681v1,2007-10-25T09:05:03Z,A Quality-of-Service Mechanism for Interconnection Networks in   System-on-Chips,Drew Wingard,cs.AR,http://arxiv.org/pdf/0710.4681v1
0710.4684v1,2007-10-25T09:07:44Z,Reliability-Centric High-Level Synthesis,Yuan Xie,cs.AR,http://arxiv.org/pdf/0710.4684v1
0710.4685v1,2007-10-25T09:08:39Z,Reliable System Specification for Self-Checking Data-Paths,L. Pomante,cs.AR,http://arxiv.org/pdf/0710.4685v1
0710.4686v1,2007-10-25T09:08:40Z,Test Planning for Mixed-Signal SOCs with Wrapped Analog Cores,Krishnendu Chakrabarty,cs.AR,http://arxiv.org/pdf/0710.4686v1
0710.4687v1,2007-10-25T09:09:14Z,On-Chip Test Infrastructure Design for Optimal Multi-Site Testing of   System Chips,Erik Jan Marinissen,cs.AR,http://arxiv.org/pdf/0710.4687v1
0710.4688v1,2007-10-25T09:09:34Z,On the Optimal Design of Triple Modular Redundancy Logic for SRAM-based   FPGAs,M. Sonza Reorda,cs.AR,http://arxiv.org/pdf/0710.4688v1
0710.4691v1,2007-10-25T09:11:11Z,An O(bn^2) Time Algorithm for Optimal Buffer Insertion with b Buffer   Types,Weiping Shi,cs.AR,http://arxiv.org/pdf/0710.4691v1
0710.4692v1,2007-10-25T09:11:49Z,Cantilever-Based Biosensors in CMOS Technology,A. Hierlemannn,cs.AR,http://arxiv.org/pdf/0710.4692v1
0710.4693v1,2007-10-25T09:14:05Z,Memory Testing Under Different Stress Conditions: An Industrial   Evaluation,Fred Bowen,cs.AR,http://arxiv.org/pdf/0710.4693v1
0710.4697v1,2007-10-25T09:16:49Z,Statistical Timing Based Optimization using Gate Sizing,David Blaauw,cs.AR,http://arxiv.org/pdf/0710.4697v1
0710.4703v1,2007-10-25T09:27:22Z,A Way Memoization Technique for Reducing Power Consumption of Caches in   Application Specific Integrated Processors,Farzan Fallah,cs.AR,http://arxiv.org/pdf/0710.4703v1
0710.4704v1,2007-10-25T09:28:05Z,Resource Sharing and Pipelining in Coarse-Grained Reconfigurable   Architecture for Domain-Specific Optimization,Kiyoung Choi,cs.AR,http://arxiv.org/pdf/0710.4704v1
0710.4705v1,2007-10-25T09:29:03Z,A Study of the Speedups and Competitiveness of FPGA Soft Processor Cores   using Dynamic Hardware/Software Partitioning,Frank Vahid,cs.AR,http://arxiv.org/pdf/0710.4705v1
0710.4706v1,2007-10-25T09:29:33Z,An Infrastructure to Functionally Test Designs Generated by Compilers   Targeting FPGAs,Joao M. P. Cardoso,cs.AR,http://arxiv.org/pdf/0710.4706v1
0710.4707v1,2007-10-25T09:29:58Z,Energy- and Performance-Driven NoC Communication Architecture Synthesis   Using a Decomposition Approach,Radu Marculescu,cs.AR,http://arxiv.org/pdf/0710.4707v1
0710.4709v1,2007-10-25T09:30:46Z,Analog and Digital Circuit Design in 65 nm CMOS: End of the Road?,Ted Vucurevich,cs.AR,http://arxiv.org/pdf/0710.4709v1
0710.4711v1,2007-10-25T09:32:43Z,FPGA Architecture for Multi-Style Asynchronous Logic,M. Renaudin,cs.AR,http://arxiv.org/pdf/0710.4711v1
0710.4712v1,2007-10-25T09:33:14Z,An Accurate SER Estimation Method Based on Propagation Probability,Mehdi B. Tahoori,cs.AR,http://arxiv.org/pdf/0710.4712v1
0710.4713v1,2007-10-25T09:33:36Z,Improving the Process-Variation Tolerance of Digital Circuits Using Gate   Sizing and Statistical Techniques,Xiaoyu Song,cs.AR,http://arxiv.org/pdf/0710.4713v1
0710.4714v1,2007-10-25T09:33:38Z,Assertion-Based Design Exploration of DVS in Network Processor   Architectures,Felice Balarin,cs.AR,http://arxiv.org/pdf/0710.4714v1
0710.4715v1,2007-10-25T09:34:11Z,Circuit-Level Modeling for Concurrent Testing of Operational Defects due   to Gate Oxide Breakdown,Daniel J. Sorin,cs.AR,http://arxiv.org/pdf/0710.4715v1
0710.4716v1,2007-10-25T09:34:19Z,Optimized Generation of Data-Path from C Codes for FPGAs,Kees Vissers,cs.AR,http://arxiv.org/pdf/0710.4716v1
0710.4717v1,2007-10-25T09:35:03Z,Multi-Placement Structures for Fast and Optimized Placement in Analog   Circuit Synthesis,Ranga Vemuri,cs.AR,http://arxiv.org/pdf/0710.4717v1
0710.4719v1,2007-10-25T09:36:21Z,Specification Test Compaction for Analog Circuits and MEMS,Larry T. Pileggi,cs.AR,http://arxiv.org/pdf/0710.4719v1
0710.4720v1,2007-10-25T09:36:27Z,Soft-Error Tolerance Analysis and Optimization of Nanometer Circuits,Abhijit Chatterjee,cs.AR,http://arxiv.org/pdf/0710.4720v1
0710.4721v1,2007-10-25T09:36:53Z,IEEE 1149.4 Compatible ABMs for Basic RF Measurements,Markku Moilanen,cs.AR,http://arxiv.org/pdf/0710.4721v1
0710.4722v1,2007-10-25T09:36:56Z,Designer-Driven Topology Optimization for Pipelined Analog to Digital   Converters,Tamal Mukherjee,cs.AR,http://arxiv.org/pdf/0710.4722v1
0710.4724v1,2007-10-25T09:37:45Z,Systematic Figure of Merit Computation for the Design of Pipeline ADC,D. Houzet,cs.AR,http://arxiv.org/pdf/0710.4724v1
0710.4727v1,2007-10-25T09:38:14Z,Top-Down Design of a Low-Power Multi-Channel 2.5-Gbit/s/Channel Gated   Oscillator Clock-Recovery Circuit,Yusuf Leblebici,cs.AR,http://arxiv.org/pdf/0710.4727v1
0710.4728v1,2007-10-25T09:38:43Z,Energy-Aware Routing for E-Textile Applications,Radu Marculescu,cs.AR,http://arxiv.org/pdf/0710.4728v1
0710.4729v1,2007-10-25T09:39:25Z,Modeling and Analysis of Loading Effect in Leakage of Nano-Scaled   Bulk-CMOS Logic Circuits,Kaushik Roy,cs.AR,http://arxiv.org/pdf/0710.4729v1
0710.4731v1,2007-10-25T09:40:02Z,Leakage-Aware Interconnect for On-Chip Network,Mary Jane Irwin,cs.AR,http://arxiv.org/pdf/0710.4731v1
