cs/0011014v1,2000-11-09T20:39:25Z,Chip-level CMP Modeling and Smart Dummy for HDP and Conformal CVD Films,Lawrence Camilletti,cs.CE,http://arxiv.org/pdf/cs/0011014v1
cs/0012013v16,2000-12-18T03:02:34Z,The Equity Tax and Shelter,Leonid A. Levin,cs.CE,http://arxiv.org/pdf/cs/0012013v16
cs/0102003v1,2001-02-02T20:52:36Z,Fast Pricing of European Asian Options with Provable Accuracy:   Single-stock and Basket Options,Shuba Raghavan,cs.CE,http://arxiv.org/pdf/cs/0102003v1
cs/0104013v1,2001-04-09T06:43:12Z,Shooting Over or Under the Mark: Towards a Reliable and Flexible   Anticipation in the Economy,Koichiro Matsuno,cs.CE,http://arxiv.org/pdf/cs/0104013v1
cs/0104014v1,2001-04-09T08:49:57Z,Tracing a Faint Fingerprint of the Invisible Hand?,Koichiro Matsuno,cs.CE,http://arxiv.org/pdf/cs/0104014v1
cs/0105004v1,2001-05-02T12:43:39Z,Parallel implementation of the TRANSIMS micro-simulation,Marcus Rickert,cs.CE,http://arxiv.org/pdf/cs/0105004v1
cs/0110067v1,2001-10-31T20:18:35Z,Analysis of Investment Policy in Belarus,Fedor S. Kilin,cs.CE,http://arxiv.org/pdf/cs/0110067v1
cs/0201026v1,2002-01-29T18:03:39Z,An Empirical Model for Volatility of Returns and Option Pricing,Gemunu H. Gunaratne,cs.CE,http://arxiv.org/pdf/cs/0201026v1
cs/0203023v1,2002-03-19T10:05:58Z,Agent trade servers in financial exchange systems,Magnus Boman,cs.CE,http://arxiv.org/pdf/cs/0203023v1
cs/0204051v1,2002-04-26T12:20:08Z,Parrondo Strategies for Artificial Traders,David Lyback,cs.CE,http://arxiv.org/pdf/cs/0204051v1
cs/0204056v1,2002-04-29T12:20:11Z,Trading Agents for Roaming Users,David Lyback,cs.CE,http://arxiv.org/pdf/cs/0204056v1
cs/0208022v1,2002-08-15T03:45:36Z,Symbolic Methodology in Numeric Data Mining: Relational Techniques for   Financial Applications,H. Yusupov,cs.CE,http://arxiv.org/pdf/cs/0208022v1
cs/0208040v1,2002-08-25T16:28:33Z,Using Hierarchical Data Mining to Characterize Performance of Wireless   System Configurations,Theodore S. Rappaport,cs.CE,http://arxiv.org/pdf/cs/0208040v1
cs/0210005v1,2002-10-07T19:28:50Z,Positive time fractional derivative,W Chen,cs.CE,http://arxiv.org/pdf/cs/0210005v1
cs/0302034v2,2003-02-25T02:48:42Z,Interest Rate Model Calibration Using Semidefinite Programming,Alexandre d'Aspremont,cs.CE,http://arxiv.org/pdf/cs/0302034v2
cs/0302035v2,2003-02-25T03:09:11Z,Risk-Management Methods for the Libor Market Model Using Semidefinite   Programming,Alexandre d'Aspremont,cs.CE,http://arxiv.org/pdf/cs/0302035v2
cs/0304009v1,2003-04-07T17:37:55Z,Stochastic Volatility in a Quantitative Model of Stock Market Returns,Gilles Daniel,cs.CE,http://arxiv.org/pdf/cs/0304009v1
