cs/9808008v1,1998-08-31T19:04:14Z,Computational Geometry Column 34,Joseph O'Rourke,cs.CG,http://arxiv.org/pdf/cs/9808008v1
cs/9809038v2,1998-09-21T23:31:16Z,Incremental and Decremental Maintenance of Planar Width,David Eppstein,cs.CG,http://arxiv.org/pdf/cs/9809038v2
cs/9809081v1,1998-09-24T21:02:45Z,Optimal Point Placement for Mesh Smoothing,David Eppstein,cs.CG,http://arxiv.org/pdf/cs/9809081v1
cs/9809109v1,1998-09-26T23:44:27Z,Linear Complexity Hexahedral Mesh Generation,David Eppstein,cs.CG,http://arxiv.org/pdf/cs/9809109v1
cs/9810007v2,1998-10-07T08:03:32Z,Randomization yields simple O(n log star n) algorithms for difficult   Omega(n) problems,Olivier Devillers,cs.CG,http://arxiv.org/pdf/cs/9810007v2
cs/9901013v1,1999-01-26T21:23:37Z,Analysis of approximate nearest neighbor searching with clustered point   sets,David M. Mount,cs.CG,http://arxiv.org/pdf/cs/9901013v1
cs/9906023v1,1999-06-22T20:40:51Z,Computational Geometry Column 35,Joseph O'Rourke,cs.CG,http://arxiv.org/pdf/cs/9906023v1
cs/9907023v1,1999-07-16T13:25:04Z,On Deletion in Delaunay Triangulation,Olivier Devillers,cs.CG,http://arxiv.org/pdf/cs/9907023v1
cs/9907024v1,1999-07-16T12:44:07Z,Improved Incremental Randomized Delaunay Triangulation,Olivier Devillers,cs.CG,http://arxiv.org/pdf/cs/9907024v1
cs/9907025v1,1999-07-16T15:20:14Z,"The union of unit balls has quadratic complexity, even if they all   contain the origin",Olivier Devillers,cs.CG,http://arxiv.org/pdf/cs/9907025v1
cs/9907028v1,1999-07-19T15:09:50Z,Further Results on Arithmetic Filters for Geometric Predicates,Franco P. Preparata,cs.CG,http://arxiv.org/pdf/cs/9907028v1
cs/9907029v2,1999-07-19T15:22:19Z,A Probabilistic Analysis of the Power of Arithmetic Filters,Franco P. Preparata,cs.CG,http://arxiv.org/pdf/cs/9907029v2
cs/9907030v1,1999-07-19T20:55:39Z,Algorithms for Coloring Quadtrees,Brad Hutchings,cs.CG,http://arxiv.org/pdf/cs/9907030v1
cs/9908006v2,1999-08-11T17:14:00Z,Computational Geometry Column 36,Joseph O'Rourke,cs.CG,http://arxiv.org/pdf/cs/9908006v2
cs/9908007v1,1999-08-11T17:19:00Z,Computational Geometry Column 37,Joseph O'Rourke,cs.CG,http://arxiv.org/pdf/cs/9908007v1
cs/9908016v1,1999-08-19T20:40:36Z,Quadrilateral Meshing by Circle Packing,David Eppstein,cs.CG,http://arxiv.org/pdf/cs/9908016v1
cs/9909004v1,1999-09-03T15:09:50Z,Convex Tours of Bounded Curvature,Mariette Yvinec,cs.CG,http://arxiv.org/pdf/cs/9909004v1
cs/9909005v1,1999-09-03T15:29:28Z,Computing largest circles separating two sets of segments,Mariette Yvinec,cs.CG,http://arxiv.org/pdf/cs/9909005v1
cs/9909006v1,1999-09-03T16:18:49Z,Motion Planning of Legged Robots,Sylvain Lazard,cs.CG,http://arxiv.org/pdf/cs/9909006v1
cs/9909007v1,1999-09-03T16:51:23Z,Circular Separability of Polygons,Mariette Yvinec,cs.CG,http://arxiv.org/pdf/cs/9909007v1
cs/9909017v1,1999-09-27T11:55:29Z,Finding an ordinary conic and an ordinary hyperplane,Asish Mukhopadhyay,cs.CG,http://arxiv.org/pdf/cs/9909017v1
cs/0009013v2,2000-09-19T20:09:39Z,Pattern Matching for sets of segments,Suresh Venkatasubramanian,cs.CG,http://arxiv.org/pdf/cs/0009013v2
cs/0009024v1,2000-09-25T19:28:49Z,Computing the Depth of a Flat,David Eppstein,cs.CG,http://arxiv.org/pdf/cs/0009024v1
cs/0010039v1,2000-10-31T17:37:33Z,Computational Geometry Column 40,Joseph O'Rourke,cs.CG,http://arxiv.org/pdf/cs/0010039v1
cs/0101006v2,2001-01-11T21:55:53Z,Optimal Moebius Transformations for Information Visualization and   Meshing,David Eppstein,cs.CG,http://arxiv.org/pdf/cs/0101006v2
cs/0103017v1,2001-03-23T00:23:11Z,Nice point sets can have nasty Delaunay triangulations,Jeff Erickson,cs.CG,http://arxiv.org/pdf/cs/0103017v1
cs/0108020v3,2001-08-27T20:24:51Z,Flipping Cubical Meshes,Jeff Erickson,cs.CG,http://arxiv.org/pdf/cs/0108020v3
cs/0202011v1,2002-02-12T14:11:25Z,Small Strictly Convex Quadrilateral Meshes of Point Sets,Vera Sacristan,cs.CG,http://arxiv.org/pdf/cs/0202011v1
cs/0203025v1,2002-03-20T15:14:24Z,Sufficiently Fat Polyhedra are not 2-castable,Alexander Golynski,cs.CG,http://arxiv.org/pdf/cs/0203025v1
cs/0204042v1,2002-04-19T21:03:35Z,Preprocessing Chains for Fast Dihedral Rotations Is Hard or Even   Impossible,Mark Overmars,cs.CG,http://arxiv.org/pdf/cs/0204042v1
