cs/9809020v1,1998-09-15T23:49:32Z,Linear Segmentation and Segment Significance,Kathleen R. McKeown,cs.CL,http://arxiv.org/pdf/cs/9809020v1
cs/9809022v1,1998-09-17T11:10:14Z,"Modelling Users, Intentions, and Structure in Spoken Dialog",Heinrich Niemann,cs.CL,http://arxiv.org/pdf/cs/9809022v1
cs/9809024v2,1998-09-18T00:33:47Z,A Lexicalized Tree Adjoining Grammar for English,XTAG Research Group,cs.CL,http://arxiv.org/pdf/cs/9809024v2
cs/9809026v1,1998-09-18T03:45:45Z,Prefix Probabilities from Stochastic Tree Adjoining Grammars,Giorgio Satta,cs.CL,http://arxiv.org/pdf/cs/9809026v1
cs/9809027v1,1998-09-18T03:58:57Z,Conditions on Consistency of Probabilistic Tree Adjoining Grammars,Anoop Sarkar,cs.CL,http://arxiv.org/pdf/cs/9809027v1
cs/9809028v1,1998-09-18T04:44:02Z,Separating Dependency from Constituency in a Tree Rewriting System,Anoop Sarkar,cs.CL,http://arxiv.org/pdf/cs/9809028v1
cs/9809029v1,1998-09-18T05:03:48Z,Incremental Parser Generation for Tree Adjoining Grammars,Anoop Sarkar,cs.CL,http://arxiv.org/pdf/cs/9809029v1
cs/9809050v1,1998-09-23T12:59:39Z,"A Freely Available Morphological Analyzer, Disambiguator and Context   Sensitive Lemmatizer for German",Manfred Wettler,cs.CL,http://arxiv.org/pdf/cs/9809050v1
cs/9809106v1,1998-09-25T11:02:08Z,Processing Unknown Words in HPSG,Markus Walther,cs.CL,http://arxiv.org/pdf/cs/9809106v1
cs/9809107v1,1998-09-25T14:32:38Z,Computing Declarative Prosodic Morphology,Markus Walther,cs.CL,http://arxiv.org/pdf/cs/9809107v1
cs/9809112v1,1998-09-28T07:49:11Z,On the Evaluation and Comparison of Taggers: The Effect of Noise in   Testing Corpora,L. Marquez,cs.CL,http://arxiv.org/pdf/cs/9809112v1
cs/9809113v1,1998-09-28T07:50:55Z,Improving Tagging Performance by Using Voting Taggers,H. Rodriguez,cs.CL,http://arxiv.org/pdf/cs/9809113v1
cs/9810014v1,1998-10-13T20:33:05Z,Resources for Evaluation of Summarization Techniques,Susan Lee,cs.CL,http://arxiv.org/pdf/cs/9810014v1
cs/9810015v1,1998-10-13T21:17:13Z,Restrictions on Tree Adjoining Languages,William Schuler,cs.CL,http://arxiv.org/pdf/cs/9810015v1
cs/9811008v1,1998-11-02T21:29:41Z,Translating near-synonyms: Possibilities and preferences in the   interlingua,Philip Edmonds,cs.CL,http://arxiv.org/pdf/cs/9811008v1
cs/9811009v1,1998-11-02T23:06:19Z,Choosing the Word Most Typical in Context Using a Lexical Co-occurrence   Network,Philip Edmonds,cs.CL,http://arxiv.org/pdf/cs/9811009v1
cs/9811016v1,1998-11-11T11:06:34Z,Comparing a statistical and a rule-based tagger for German,Gerold Schneider,cs.CL,http://arxiv.org/pdf/cs/9811016v1
cs/9811022v2,1998-11-12T17:31:17Z,Expoiting Syntactic Structure for Language Modeling,Frederick Jelinek,cs.CL,http://arxiv.org/pdf/cs/9811022v2
cs/9811025v2,1998-11-13T16:53:15Z,A Structured Language Model,Ciprian Chelba,cs.CL,http://arxiv.org/pdf/cs/9811025v2
cs/9812001v3,1998-12-01T11:43:32Z,A Probabilistic Approach to Lexical Semantic Knowledge Acquisition and S   tructural Disambiguation,Hang LI,cs.CL,http://arxiv.org/pdf/cs/9812001v3
cs/9812005v1,1998-12-04T16:16:35Z,Optimal Multi-Paragraph Text Segmentation by Dynamic Programming,Oskari Heinonen,cs.CL,http://arxiv.org/pdf/cs/9812005v1
cs/9812018v1,1998-12-16T16:37:01Z,A Flexible Shallow Approach to Text Generation,Helmut Horacek,cs.CL,http://arxiv.org/pdf/cs/9812018v1
cs/9901005v1,1999-01-13T17:37:00Z,An Empirical Approach to Temporal Reference Resolution (journal version),Kenneth K. McKeever,cs.CL,http://arxiv.org/pdf/cs/9901005v1
cs/9902001v1,1999-01-31T18:57:45Z,Compacting the Penn Treebank Grammar,Yorick Wilks,cs.CL,http://arxiv.org/pdf/cs/9902001v1
cs/9902029v1,1999-02-25T14:41:24Z,"The ""Fodor""-FODOR fallacy bites back",Yorick Wilks,cs.CL,http://arxiv.org/pdf/cs/9902029v1
cs/9902030v1,1999-02-25T14:41:32Z,Is Word Sense Disambiguation just one more NLP task?,Yorick Wilks,cs.CL,http://arxiv.org/pdf/cs/9902030v1
cs/9903003v1,1999-03-02T12:30:55Z,A Formal Framework for Linguistic Annotation,Mark Liberman,cs.CL,http://arxiv.org/pdf/cs/9903003v1
cs/9903008v1,1999-03-05T22:03:13Z,Empirically Evaluating an Adaptable Spoken Dialogue System,Shimei Pan,cs.CL,http://arxiv.org/pdf/cs/9903008v1
cs/9904008v1,1999-04-15T14:00:41Z,Transducers from Rewrite Rules with Backreferences,Gertjan van Noord,cs.CL,http://arxiv.org/pdf/cs/9904008v1
cs/9904009v1,1999-04-15T16:03:27Z,An ascription-based approach to speech acts,Yorick Wilks,cs.CL,http://arxiv.org/pdf/cs/9904009v1
cs/9904018v1,1999-04-24T23:45:26Z,A Computational Memory and Processing Model for Processing,Janet E. Cahn,cs.CL,http://arxiv.org/pdf/cs/9904018v1
cs/9905001v1,1999-05-02T20:48:21Z,Supervised Grammar Induction Using Training Data with Limited   Constituent Information,Rebecca Hwa,cs.CL,http://arxiv.org/pdf/cs/9905001v1
cs/9906003v1,1999-06-02T12:03:14Z,The syntactic processing of particles in Japanese spoken language,Melanie Siegel,cs.CL,http://arxiv.org/pdf/cs/9906003v1
cs/9906009v1,1999-06-06T17:36:34Z,Cascaded Markov Models,Thorsten Brants,cs.CL,http://arxiv.org/pdf/cs/9906009v1
cs/9906014v1,1999-06-14T10:06:31Z,Evaluation of the NLP Components of the OVIS2 Spoken Dialogue System,Remko Bonnema,cs.CL,http://arxiv.org/pdf/cs/9906014v1
cs/9906015v1,1999-06-14T22:06:24Z,Learning Transformation Rules to Find Grammatical Relations,Alexander Yeh,cs.CL,http://arxiv.org/pdf/cs/9906015v1
cs/9906020v1,1999-06-22T08:28:26Z,Temporal Meaning Representations in a Natural Language Front-End,I. Androutsopoulos,cs.CL,http://arxiv.org/pdf/cs/9906020v1
cs/9906025v1,1999-06-24T16:56:45Z,Mapping Multilingual Hierarchies Using Relaxation Labeling,G. Rigau,cs.CL,http://arxiv.org/pdf/cs/9906025v1
cs/9906026v1,1999-06-25T08:16:23Z,Robust Grammatical Analysis for Spoken Dialogue Systems,Mark-Jan Nederhof,cs.CL,http://arxiv.org/pdf/cs/9906026v1
cs/9906034v1,1999-06-30T23:06:09Z,A Unified Example-Based and Lexicalist Approach to Machine Translation,Janine Toole,cs.CL,http://arxiv.org/pdf/cs/9906034v1
cs/9907003v1,1999-07-05T14:51:26Z,Annotation graphs as a framework for multidimensional linguistic data   analysis,Mark Liberman,cs.CL,http://arxiv.org/pdf/cs/9907003v1
cs/9907006v1,1999-07-06T12:44:20Z,Representing Text Chunks,Jorn Veenstra,cs.CL,http://arxiv.org/pdf/cs/9907006v1
cs/9907007v2,1999-07-06T16:25:46Z,Cross-Language Information Retrieval for Technical Documents,Tetsuya Ishikawa,cs.CL,http://arxiv.org/pdf/cs/9907007v2
cs/9907008v1,1999-07-06T18:35:41Z,Explanation-based Learning for Machine Translation,Paul McFetridge,cs.CL,http://arxiv.org/pdf/cs/9907008v1
cs/9907010v1,1999-07-07T09:28:40Z,Language Identification With Confidence Limits,David Elworthy,cs.CL,http://arxiv.org/pdf/cs/9907010v1
cs/9907012v1,1999-07-08T09:46:37Z,Selective Magic HPSG Parsing,Guido Minnen,cs.CL,http://arxiv.org/pdf/cs/9907012v1
cs/9907013v1,1999-07-08T10:08:59Z,Corpus Annotation for Parser Evaluation,Ted Briscoe,cs.CL,http://arxiv.org/pdf/cs/9907013v1
cs/9907017v1,1999-07-09T22:39:52Z,A Bootstrap Approach to Automatically Generating Lexical Transfer Rules,Janine Toole,cs.CL,http://arxiv.org/pdf/cs/9907017v1
cs/9907021v1,1999-07-14T09:21:16Z,Architectural Considerations for Conversational Systems -- The   Verbmobil/INTARC Experience,Hans Weber,cs.CL,http://arxiv.org/pdf/cs/9907021v1
cs/9908001v1,1999-08-01T14:02:57Z,Detecting Sub-Topic Correspondence through Bipartite Term Clustering,Eli Shamir,cs.CL,http://arxiv.org/pdf/cs/9908001v1
cs/9909002v1,1999-09-02T15:53:07Z,Semantic robust parsing for noun extraction from natural language   queries,Vincenzo Pallotta,cs.CL,http://arxiv.org/pdf/cs/9909002v1
cs/9910020v1,1999-10-23T11:19:35Z,Selective Sampling for Example-based Word Sense Disambiguation,Hozumi Tanaka,cs.CL,http://arxiv.org/pdf/cs/9910020v1
cs/9910022v1,1999-10-25T15:00:52Z,Practical experiments with regular approximation of context-free   languages,Mark-Jan Nederhof,cs.CL,http://arxiv.org/pdf/cs/9910022v1
cs/9911006v1,1999-11-15T05:48:03Z,Question Answering System Using Syntactic Information,H. Isahara,cs.CL,http://arxiv.org/pdf/cs/9911006v1
cs/9911011v1,1999-11-19T16:10:51Z,One-Level Prosodic Morphology,Markus Walther,cs.CL,http://arxiv.org/pdf/cs/9911011v1
cs/9912003v1,1999-12-13T04:42:25Z,Resolution of Indirect Anaphora in Japanese Sentences Using Examples 'X   no Y (Y of X)',M. Nagao,cs.CL,http://arxiv.org/pdf/cs/9912003v1
cs/9912004v1,1999-12-13T04:46:20Z,Pronoun Resolution in Japanese Sentences Using Surface Expressions and   Examples,M. Nagao,cs.CL,http://arxiv.org/pdf/cs/9912004v1
cs/9912005v1,1999-12-13T05:20:40Z,An Estimate of Referent of Noun Phrases in Japanese Sentences,M. Nagao,cs.CL,http://arxiv.org/pdf/cs/9912005v1
