cs/9809031v1,1998-09-18T19:02:15Z,"Security amplification by composition: The case of doubly-iterated,   ideal ciphers",Ramarathnam Venkatesan,cs.CR,http://arxiv.org/pdf/cs/9809031v1
cs/9809124v1,1998-09-30T17:00:20Z,Security Policy Specification Using a Graphical Approach,Karl N. Levitt,cs.CR,http://arxiv.org/pdf/cs/9809124v1
cs/9902010v1,1999-02-08T23:33:46Z,Multiparty computation unconditionally secure against Q^2 adversary   structures,Anton Stiglic,cs.CR,http://arxiv.org/pdf/cs/9902010v1
cs/9903001v1,1999-03-01T02:44:04Z,Introduction to the RSA algorithm and modular arithmetic,R. Milson,cs.CR,http://arxiv.org/pdf/cs/9903001v1
cs/9904005v1,1999-04-14T20:05:37Z,Transport Level Security: a proof using the Gong-Needham-Yahalom Logic,Walter Eaves,cs.CR,http://arxiv.org/pdf/cs/9904005v1
cs/9909012v1,1999-09-17T08:00:35Z,Certificate Revocation Paradigms,Jan Willemson,cs.CR,http://arxiv.org/pdf/cs/9909012v1
cs/9912019v2,1999-12-27T20:57:45Z,Quantum Bit Commitment Expansion,Dominic Mayers,cs.CR,http://arxiv.org/pdf/cs/9912019v2
cs/0003066v1,2000-03-16T01:24:59Z,"Specifying and Implementing Security Policies Using LaSCO, the Language   for Security Constraints on Objects",James A. Hoagland,cs.CR,http://arxiv.org/pdf/cs/0003066v1
cs/0010019v1,2000-10-11T21:05:09Z,"The Random Oracle Methodology, Revisited",Shai Halevi,cs.CR,http://arxiv.org/pdf/cs/0010019v1
cs/0011004v2,2000-11-04T06:14:57Z,Anonymous Oblivious Transfer,H. Imai,cs.CR,http://arxiv.org/pdf/cs/0011004v2
cs/0101020v2,2001-01-22T10:17:59Z,More Robust Multiparty Protocols with Oblivious Transfer,H. Imai,cs.CR,http://arxiv.org/pdf/cs/0101020v2
cs/0102012v1,2001-02-16T14:03:04Z,Chaos for Stream Cipher,K. Babu Joseph,cs.CR,http://arxiv.org/pdf/cs/0102012v1
cs/0104004v1,2001-04-03T02:14:07Z,Secure Counting: counting members of a subset without revealing their   identities,Oleg Kiselyov,cs.CR,http://arxiv.org/pdf/cs/0104004v1
cs/0107003v2,2001-07-02T12:32:54Z,Lower Bounds for Zero-knowledge on the Internet,Charles Rackoff,cs.CR,http://arxiv.org/pdf/cs/0107003v2
cs/0107004v1,2001-07-03T18:28:24Z,On Concurrent and Resettable Zero-Knowledge Proofs for NP,Ransom Richardson,cs.CR,http://arxiv.org/pdf/cs/0107004v1
cs/0108017v1,2001-08-25T16:28:22Z,Security Considerations for Remote Electronic Voting over the Internet,Aviel D. Rubin,cs.CR,http://arxiv.org/pdf/cs/0108017v1
cs/0110009v1,2001-10-02T15:58:18Z,Algorithmic Self-Assembly of DNA Tiles and its Application to   Cryptanalysis,Andre Weimerskirch,cs.CR,http://arxiv.org/pdf/cs/0110009v1
cs/0110019v1,2001-10-05T21:35:22Z,New approach for network monitoring and intrusion detection,Joseph E. Johnson,cs.CR,http://arxiv.org/pdf/cs/0110019v1
