cs/9809018v1,1998-09-11T18:40:05Z,Influencing Software Usage,Rebecca N. Wright,cs.CY,http://arxiv.org/pdf/cs/9809018v1
cs/9903013v1,1999-03-18T17:01:27Z,The Impact of Net Culture on Mainstream Societies: a Global Analysis,Tapas Kumar Das,cs.CY,http://arxiv.org/pdf/cs/9903013v1
cs/9909008v2,1999-09-07T11:35:28Z,Not Just a Matter of Time: Field Differences and the Shaping of   Electronic Media in Supporting Scientific Communication,Geoffrey McKim,cs.CY,http://arxiv.org/pdf/cs/9909008v2
cs/0001011v1,2000-01-14T17:44:51Z,Agents of Choice: Tools that Facilitate Notice and Choice about Web Site   Data Practices,Lorrie Faith Cranor,cs.CY,http://arxiv.org/pdf/cs/0001011v1
cs/0005007v1,2000-05-08T01:49:57Z,Scientific Collaboratories as Socio-Technical Interaction Networks: A   Theoretical Approach,Adam King,cs.CY,http://arxiv.org/pdf/cs/0005007v1
cs/0108014v1,2001-08-22T20:30:17Z,What's Fit To Print: The Effect Of Ownership Concentration On Product   Variety In Daily Newspaper Markets,Lisa M. George,cs.CY,http://arxiv.org/pdf/cs/0108014v1
cs/0108015v1,2001-08-22T23:34:37Z,"Spiders and Crawlers and Bots, Oh My: The Economic Efficiency and Public   Policy of Contracts that Restrict Data Collection",Jeffrey M. Rosenfeld,cs.CY,http://arxiv.org/pdf/cs/0108015v1
cs/0109007v2,2001-09-05T11:29:13Z,Voice vs Data: Estimates of Media Usage and Network Traffic,A. Michael Noll,cs.CY,http://arxiv.org/pdf/cs/0109007v2
cs/0109008v1,2001-09-06T08:04:19Z,The Role of Incentives for Opening Monopoly Markets: Comparing GTE and   BOC Cooperation with Local Entrants,Federico Mini,cs.CY,http://arxiv.org/pdf/cs/0109008v1
cs/0109009v1,2001-09-06T17:39:22Z,The Effect of Native Language on Internet Usage,Carl Shapiro,cs.CY,http://arxiv.org/pdf/cs/0109009v1
