cs/9809125v1,1998-09-14T14:42:26Z,"Distributed Computation, the Twisted Isomorphism, and Auto-Poiesis",Michael Manthey,cs.DC,http://arxiv.org/pdf/cs/9809125v1
cs/9810019v1,1998-10-21T18:43:47Z,Gryphon: An Information Flow Based Approach to Message Brokering,Michael Ward,cs.DC,http://arxiv.org/pdf/cs/9810019v1
cs/9909013v1,1999-09-21T13:39:03Z,"Self-stabilizing mutual exclusion on a ring, even if K=N",Jaap-Henk Hoepman,cs.DC,http://arxiv.org/pdf/cs/9909013v1
cs/9909015v1,1999-09-21T20:51:37Z,A decision-theoretic approach to reliable message delivery,Joseph Y. Halpern,cs.DC,http://arxiv.org/pdf/cs/9909015v1
cs/0002008v1,2000-02-16T02:45:39Z,On Automata with Boundary,R. F. C. Walters,cs.DC,http://arxiv.org/pdf/cs/0002008v1
cs/0003054v1,2000-03-12T00:19:24Z,"A Problem-Specific Fault-Tolerance Mechanism for Asynchronous,   Distributed Systems",Ian Foster,cs.DC,http://arxiv.org/pdf/cs/0003054v1
cs/0004013v1,2000-04-23T04:32:18Z,Sorting Integers on the AP1000,Andrew Lynes,cs.DC,http://arxiv.org/pdf/cs/0004013v1
cs/0006004v1,2000-06-02T03:14:07Z,"A Note on ""Optimal Static Load Balancing in Distributed Computer   Systems""",S. A. Mondal,cs.DC,http://arxiv.org/pdf/cs/0006004v1
cs/0006008v1,2000-06-02T18:35:55Z,Performing work efficiently in the presence of faults,O. Waarts,cs.DC,http://arxiv.org/pdf/cs/0006008v1
cs/0007015v1,2000-07-10T15:59:03Z,Phase Clocks for Transient Fault Repair,Ted Herman,cs.DC,http://arxiv.org/pdf/cs/0007015v1
cs/0009021v1,2000-09-22T10:44:16Z,Nimrod/G: An Architecture of a Resource Management and Scheduling System   in a Global Computational Grid,Jon Giddy,cs.DC,http://arxiv.org/pdf/cs/0009021v1
cs/0012024v4,2000-12-26T23:05:58Z,Byzantine Agreement with Faulty Majority using Bounded Broadcast,David Metcalf,cs.DC,http://arxiv.org/pdf/cs/0012024v4
cs/0102016v1,2001-02-20T20:17:22Z,A Scientific Data Management System for Irregular Applications,Alok Choudhary,cs.DC,http://arxiv.org/pdf/cs/0102016v1
cs/0102017v1,2001-02-21T16:04:21Z,Components and Interfaces of a Process Management System for Parallel   Programs,Ewing Lusk,cs.DC,http://arxiv.org/pdf/cs/0102017v1
cs/0104002v1,2001-04-02T18:19:06Z,Replica Selection in the Globus Data Grid,Ian Foster,cs.DC,http://arxiv.org/pdf/cs/0104002v1
cs/0105013v1,2001-05-07T14:29:59Z,Dijkstra's Self-Stabilizing Algorithm in Unsupportive Environments,Ted Herman,cs.DC,http://arxiv.org/pdf/cs/0105013v1
cs/0105034v1,2001-05-29T21:59:18Z,On the Area of Hypercube Layouts,Lee Guan,cs.DC,http://arxiv.org/pdf/cs/0105034v1
cs/0106020v1,2001-06-11T07:46:56Z,Economic Models for Management of Resources in Grid Computing,David Abrams,cs.DC,http://arxiv.org/pdf/cs/0106020v1
cs/0106038v1,2001-06-15T17:09:49Z,Simple and Effective Distributed Computing with a Scheduling Service,David M. Mackie,cs.DC,http://arxiv.org/pdf/cs/0106038v1
cs/0106056v2,2001-06-28T15:45:35Z,Randomized Two-Process Wait-Free Test-and-Set,Paul Vitanyi,cs.DC,http://arxiv.org/pdf/cs/0106056v2
cs/0107034v1,2001-07-26T15:19:00Z,NEOS Server 4.0 Administrative Guide,Elizabeth D. Dolan,cs.DC,http://arxiv.org/pdf/cs/0107034v1
cs/0108001v1,2001-08-01T23:14:34Z,The Cactus Worm: Experiments with Dynamic Resource Discovery and   Allocation in a Grid Environment,John Shalf,cs.DC,http://arxiv.org/pdf/cs/0108001v1
cs/0108002v1,2001-08-02T17:13:48Z,Bounded Concurrent Timestamp Systems Using Vector Clocks,Paul Vitanyi,cs.DC,http://arxiv.org/pdf/cs/0108002v1
cs/0108019v1,2001-08-27T15:54:41Z,Scalable Unix Commands for Parallel Processors: A High-Performance   Implementation,W. Gropp,cs.DC,http://arxiv.org/pdf/cs/0108019v1
cs/0109017v1,2001-09-13T21:14:21Z,Learning from the Success of MPI,William D. Gropp,cs.DC,http://arxiv.org/pdf/cs/0109017v1
cs/0110058v1,2001-10-29T19:00:15Z,Teaching Parallel Programming Using Both High-Level and Low-Level   Languages,Yi Pan,cs.DC,http://arxiv.org/pdf/cs/0110058v1
cs/0111028v1,2001-11-09T14:29:16Z,The ESRF TANGO control system status,P. Verdier,cs.DC,http://arxiv.org/pdf/cs/0111028v1
cs/0111031v1,2001-11-09T16:40:09Z,Large-Scale Corba-Distributed Software Framework for Nif Controls,John P. Woodruff,cs.DC,http://arxiv.org/pdf/cs/0111031v1
