cs/9907002v1,1999-07-02T23:37:54Z,The Distribution of Cycle Lengths in Graphical Models for Iterative   Decoding,Padhraic Smyth,cs.DM,http://arxiv.org/pdf/cs/9907002v1
cs/0003002v3,2000-03-01T17:50:36Z,Combining Random Number Generators using Quasicrystals,Edita Pelantova,cs.DM,http://arxiv.org/pdf/cs/0003002v3
cs/0003063v2,2000-03-14T22:50:08Z,Statistics and implementation of APRNGs,Jiri Patera,cs.DM,http://arxiv.org/pdf/cs/0003063v2
cs/0010036v1,2000-10-31T11:27:25Z,Lattice Structure and Convergence of a Game of Cards,Ha Duong Phan,cs.DM,http://arxiv.org/pdf/cs/0010036v1
cs/0011031v1,2000-11-21T16:34:21Z,"SimLab 1.1, Software for Sensitivity and Uncertainty Analysis, tool for   sound modelling",A. Saltelli,cs.DM,http://arxiv.org/pdf/cs/0011031v1
cs/0106001v1,2001-06-01T13:15:54Z,Approximating the satisfiability threshold for random k-XOR-formulas,Olivier Dubois,cs.DM,http://arxiv.org/pdf/cs/0106001v1
cs/0106002v2,2001-06-01T15:11:18Z,Solving Assembly Line Balancing Problems by Combining IP and CP,Nicolai Pisaruk,cs.DM,http://arxiv.org/pdf/cs/0106002v2
cs/0111061v2,2001-11-29T16:42:17Z,On a Special Case of the Generalized Neighbourhood Problem,Yu. Orlovich,cs.DM,http://arxiv.org/pdf/cs/0111061v2
cs/0209005v1,2002-09-04T15:38:32Z,Sampling from a couple of positively correlated binomial variables,Mario Catalani,cs.DM,http://arxiv.org/pdf/cs/0209005v1
cs/0301025v1,2003-01-24T13:30:42Z,PHORMA: Perfectly Hashed Order Restricted Multidimensional Array,Silvio Melo,cs.DM,http://arxiv.org/pdf/cs/0301025v1
cs/0305006v1,2003-05-12T16:17:18Z,On the Ramsey Numbers for Bipartite Multigraphs,Hsu-Chun Yen,cs.DM,http://arxiv.org/pdf/cs/0305006v1
cs/0305039v2,2003-05-23T11:28:00Z,Periodicity and Unbordered Words: A Proof of the Extended Duval   Conjecture,Dirk Nowotka,cs.DM,http://arxiv.org/pdf/cs/0305039v2
cs/0305051v1,2003-05-28T20:28:55Z,Sharp Bounds for Bandwidth of Clique Products,Mitchell A. Harris,cs.DM,http://arxiv.org/pdf/cs/0305051v1
cs/0309017v1,2003-09-11T09:59:06Z,Enumerating planar locally finite Cayley graphs,David Renault,cs.DM,http://arxiv.org/pdf/cs/0309017v1
cs/0404031v1,2004-04-14T15:27:57Z,Characterisations of Intersection Graphs by Vertex Orderings,David R. Wood,cs.DM,http://arxiv.org/pdf/cs/0404031v1
cs/0406010v1,2004-06-06T09:34:07Z,Another Proof of an Extension of a Curious Identity,Yidong Sun,cs.DM,http://arxiv.org/pdf/cs/0406010v1
cs/0408067v1,2004-08-31T14:03:58Z,The Expected Size of the Rule k Dominating Set,Eric Schmutz,cs.DM,http://arxiv.org/pdf/cs/0408067v1
cs/0408068v1,2004-08-31T16:02:36Z,Probabilistic Analysis of Rule 2,Li Sheng,cs.DM,http://arxiv.org/pdf/cs/0408068v1
cs/0409023v2,2004-09-13T03:12:33Z,Proximity Inversion Functions on the Non-Negative Integers,Brendan Lucier,cs.DM,http://arxiv.org/pdf/cs/0409023v2
cs/0410031v2,2004-10-14T07:28:33Z,Similarity-Based Supervisory Control of Discrete Event Systems,Mingsheng Ying,cs.DM,http://arxiv.org/pdf/cs/0410031v2
cs/0412078v1,2004-12-17T16:18:07Z,The vertex-transitive TLF-planar graphs,D. Renault,cs.DM,http://arxiv.org/pdf/cs/0412078v1
cs/0502038v1,2005-02-07T15:26:01Z,The Number of Spanning Trees in Kn-complements of Quasi-threshold Graphs,Charis Papadopoulos,cs.DM,http://arxiv.org/pdf/cs/0502038v1
cs/0503009v1,2005-03-03T12:06:10Z,Minimal chordal sense of direction and circulant graphs,V. C. Barbosa,cs.DM,http://arxiv.org/pdf/cs/0503009v1
cs/0503039v11,2005-03-17T20:23:32Z,Notes for Miscellaneous Lectures,Leonid A. Levin,cs.DM,http://arxiv.org/pdf/cs/0503039v11
cs/0504082v1,2005-04-18T13:45:09Z,Coloring Artemis graphs,Nicolas Trotignon,cs.DM,http://arxiv.org/pdf/cs/0504082v1
cs/0505036v1,2005-05-12T20:52:24Z,Minimal Eulerian trail in a labeled digraph,Eduardo Moreno,cs.DM,http://arxiv.org/pdf/cs/0505036v1
cs/0505088v4,2005-05-31T15:52:37Z,6-cycle double covers of cubic graphs,Valmir C. Barbosa,cs.DM,http://arxiv.org/pdf/cs/0505088v4
cs/0507016v1,2005-07-06T15:24:55Z,Minimizing makespan in flowshop with time lags,Marie-Claude Portmann,cs.DM,http://arxiv.org/pdf/cs/0507016v1
cs/0507017v2,2005-07-06T18:45:50Z,Minimum Cost and List Homomorphisms to Semicomplete Digraphs,A. Yeo,cs.DM,http://arxiv.org/pdf/cs/0507017v2
cs/0509004v1,2005-09-02T08:06:22Z,Precoloring co-Meyniel graphs,Frédéric Maffray,cs.DM,http://arxiv.org/pdf/cs/0509004v1
