cs/9301115v1,1991-12-01T00:00:00Z,Context-free multilanguages,Donald E. Knuth,cs.DS,http://arxiv.org/pdf/cs/9301115v1
cs/9608105v1,1996-08-22T00:00:00Z,Shellsort with three increments,Donald E. Knuth,cs.DS,http://arxiv.org/pdf/cs/9608105v1
cs/9801103v1,1998-01-15T00:00:00Z,Linear probing and graphs,Donald E. Knuth,cs.DS,http://arxiv.org/pdf/cs/9801103v1
cs/9809012v1,1998-09-09T02:38:56Z,A Fully Polynomial Randomized Approximation Scheme for the All Terminal   Network Reliability Problem,David R. Karger,cs.DS,http://arxiv.org/pdf/cs/9809012v1
cs/9812007v1,1998-12-08T21:29:20Z,Minimum Cuts in Near-Linear Time,David R. Karger,cs.DS,http://arxiv.org/pdf/cs/9812007v1
cs/9812008v1,1998-12-08T22:03:36Z,Approximate Graph Coloring by Semidefinite Programming,Madhu Sudan,cs.DS,http://arxiv.org/pdf/cs/9812008v1
cs/9903010v1,1999-03-11T19:36:05Z,A class of problems of NP to be worth to search an efficient solving   algorithm,Anatoly D. Plotnikov,cs.DS,http://arxiv.org/pdf/cs/9903010v1
cs/9906021v1,1999-06-22T09:56:53Z,Reconstructing hv-Convex Polyominoes from Orthogonal Projections,Marek Chrobak,cs.DS,http://arxiv.org/pdf/cs/9906021v1
cs/9911003v1,1999-11-09T18:58:58Z,Subgraph Isomorphism in Planar Graphs and Related Problems,David Eppstein,cs.DS,http://arxiv.org/pdf/cs/9911003v1
cs/9912014v1,1999-12-22T01:42:51Z,Fast Hierarchical Clustering and Other Applications of Dynamic Closest   Pairs,David Eppstein,cs.DS,http://arxiv.org/pdf/cs/9912014v1
cs/9912020v2,1999-12-30T07:50:11Z,Additive models in high dimensions,Vladimir Pestov,cs.DS,http://arxiv.org/pdf/cs/9912020v2
cs/0003078v1,2000-03-24T23:31:24Z,About the finding of independent vertices of a graph,Anatoly D. Plotnikov,cs.DS,http://arxiv.org/pdf/cs/0003078v1
cs/0006046v1,2000-06-30T22:04:04Z,3-Coloring in Time O(1.3289^n),David Eppstein,cs.DS,http://arxiv.org/pdf/cs/0006046v1
cs/0007029v1,2000-07-18T21:50:04Z,Dimension-Dependent behavior in the satisfability of random k-Horn   formulae,Gabriel Istrate,cs.DS,http://arxiv.org/pdf/cs/0007029v1
cs/0007043v1,2000-07-31T00:13:17Z,Min-Max Fine Heaps,M. Kaykobad,cs.DS,http://arxiv.org/pdf/cs/0007043v1
cs/0008011v1,2000-08-16T20:39:45Z,All Pairs Shortest Paths using Bridging Sets and Rectangular Matrix   Multiplication,Uri Zwick,cs.DS,http://arxiv.org/pdf/cs/0008011v1
cs/0009006v1,2000-09-13T20:42:55Z,"Improved Algorithms for 3-Coloring, 3-Edge-Coloring, and Constraint   Satisfaction",David Eppstein,cs.DS,http://arxiv.org/pdf/cs/0009006v1
cs/0011047v1,2000-11-15T00:00:00Z,Dancing links,Donald E. Knuth,cs.DS,http://arxiv.org/pdf/cs/0011047v1
cs/0012002v1,2000-12-02T17:47:26Z,Random Shuffling to Reduce Disorder in Adaptive Sorting Scheme,Abdun Naser Mahmood,cs.DS,http://arxiv.org/pdf/cs/0012002v1
cs/0111050v7,2001-11-19T23:37:14Z,Smoothed Analysis of Algorithms: Why the Simplex Algorithm Usually Takes   Polynomial Time,Shang-Hua Teng,cs.DS,http://arxiv.org/pdf/cs/0111050v7
cs/0112022v2,2001-12-21T05:58:12Z,Faster Algorithm of String Comparison,Sun Peng,cs.DS,http://arxiv.org/pdf/cs/0112022v2
cs/0203018v1,2002-03-13T19:09:41Z,Improving Table Compression with Combinatorial Optimization,Raffaele Giancarlo,cs.DS,http://arxiv.org/pdf/cs/0203018v1
cs/0204033v1,2002-04-15T04:48:21Z,Randomized selection revisited,Krzysztof C. Kiwiel,cs.DS,http://arxiv.org/pdf/cs/0204033v1
cs/0205029v1,2002-05-17T23:52:11Z,A Codebook Generation Algorithm for Document Image Compression,Neal Young,cs.DS,http://arxiv.org/pdf/cs/0205029v1
cs/0205039v1,2002-05-18T15:12:41Z,Sequential and Parallel Algorithms for Mixed Packing and Covering,Neal E. Young,cs.DS,http://arxiv.org/pdf/cs/0205039v1
cs/0205048v2,2002-05-18T18:57:04Z,Huffman Coding with Letter Costs: A Linear-Time Approximation Scheme,Neal E. Young,cs.DS,http://arxiv.org/pdf/cs/0205048v2
cs/0205049v1,2002-05-18T19:05:55Z,"Prefix Codes: Equiprobable Words, Unequal Letter Costs",Neal E. Young,cs.DS,http://arxiv.org/pdf/cs/0205049v1
cs/0206033v1,2002-06-24T06:50:52Z,Algorithms for Media,Jean-Claude Falmagne,cs.DS,http://arxiv.org/pdf/cs/0206033v1
cs/0207061v2,2002-07-15T18:47:57Z,Linear-Time Pointer-Machine Algorithms for Path-Evaluation Problems on   Trees and Graphs,Jeffery R. Westbrook,cs.DS,http://arxiv.org/pdf/cs/0207061v2
cs/0207066v1,2002-07-16T17:58:48Z,Polynomial Time Data Reduction for Dominating Set,Rolf Niedermeier,cs.DS,http://arxiv.org/pdf/cs/0207066v1
cs/0207082v1,2002-07-24T19:56:17Z,Dynamic Generators of Topologically Embedded Graphs,David Eppstein,cs.DS,http://arxiv.org/pdf/cs/0207082v1
cs/0209033v2,2002-09-30T10:33:13Z,Preemptive Scheduling of Equal-Length Jobs to Maximize Weighted   Throughput,Nodari Vakhania,cs.DS,http://arxiv.org/pdf/cs/0209033v2
cs/0210006v2,2002-10-09T04:49:56Z,Dynamic Ordered Sets with Exponential Search Trees,Mikkel Thorup,cs.DS,http://arxiv.org/pdf/cs/0210006v2
cs/0210013v2,2002-10-14T17:17:28Z,On the Sum-of-Squares Algorithm for Bin Packing,Richard R. Weber,cs.DS,http://arxiv.org/pdf/cs/0210013v2
cs/0211001v2,2002-11-01T06:23:00Z,Fast and Simple Computation of All Longest Common Subsequences,Ronald I. Greenberg,cs.DS,http://arxiv.org/pdf/cs/0211001v2
cs/0211009v1,2002-11-11T12:02:30Z,"Improved Phylogeny Comparisons: Non-Shared Edges Nearest Neighbor   Interchanges, and Subtree Transfers",Siu-Ming Yiu,cs.DS,http://arxiv.org/pdf/cs/0211009v1
cs/0211010v2,2002-11-12T03:32:02Z,Efficient Tree Layout in a Multilevel Memory Hierarchy,Mikkel Thorup,cs.DS,http://arxiv.org/pdf/cs/0211010v2
cs/0211018v2,2002-11-14T19:10:16Z,Indexing schemes for similarity search: an illustrated paradigm,Aleksandar Stojmirovic,cs.DS,http://arxiv.org/pdf/cs/0211018v2
cs/0212044v1,2002-12-16T09:39:16Z,"Solving a ""Hard"" Problem to Approximate an ""Easy"" One: Heuristics for   Maximum Matchings and Maximum Traveling Salesman Problems",Walter Tietze,cs.DS,http://arxiv.org/pdf/cs/0212044v1
