cs/9301112v1,1990-04-01T00:00:00Z,A note on digitized angles,Donald E. Knuth,cs.GR,http://arxiv.org/pdf/cs/9301112v1
cs/0206029v1,2002-06-20T06:21:15Z,Computer-Generated Photorealistic Hair,Alice J. Lin,cs.GR,http://arxiv.org/pdf/cs/0206029v1
cs/0304011v1,2003-04-08T14:17:53Z,Embedded Reflection Mapping,Goncalo Carvalho,cs.GR,http://arxiv.org/pdf/cs/0304011v1
cs/0305057v1,2003-05-29T22:06:27Z,The Persint visualization program for the ATLAS experiment,M. Virchaux,cs.GR,http://arxiv.org/pdf/cs/0305057v1
cs/0306012v1,2003-06-02T09:04:18Z,GraXML - Modular Geometric Modeler,Julius Hrivnac,cs.GR,http://arxiv.org/pdf/cs/0306012v1
cs/0306031v1,2003-06-06T12:34:53Z,The FRED Event Display: an Extensible HepRep Client for GLAST,Riccardo Giannitrapani,cs.GR,http://arxiv.org/pdf/cs/0306031v1
cs/0306059v1,2003-06-12T20:37:32Z,The Use of HepRep in GLAST,M. Frailis,cs.GR,http://arxiv.org/pdf/cs/0306059v1
cs/0307065v1,2003-07-29T13:40:12Z,Application of interactive parallel visualization for commodity-based   clusters using visualization APIs,John Spiletic,cs.GR,http://arxiv.org/pdf/cs/0307065v1
cs/0311034v1,2003-11-22T18:17:26Z,Visualization of variations in human brain morphology using   differentiating reflection functions,Gibby Koldenhof,cs.GR,http://arxiv.org/pdf/cs/0311034v1
cs/0404022v1,2004-04-08T14:07:05Z,An Algorithm for Transforming Color Images into Tactile Graphics,Artur Rataj,cs.GR,http://arxiv.org/pdf/cs/0404022v1
cs/0405048v1,2004-05-14T18:18:04Z,Interactive visualization of higher dimensional data in a multiview   environment,Michael McGuigan,cs.GR,http://arxiv.org/pdf/cs/0405048v1
cs/0507012v1,2005-07-05T19:48:09Z,Lattice Gas Cellular Automata for Computational Fluid Animation,Paulo S. Rodrigues,cs.GR,http://arxiv.org/pdf/cs/0507012v1
cs/0508002v1,2005-07-30T12:31:00Z,Methods for Analytical Understanding of Agent-Based Modeling of Complex   Systems,Paulo S. Rodrigues,cs.GR,http://arxiv.org/pdf/cs/0508002v1
cs/0510087v1,2005-10-31T09:40:00Z,MathPSfrag: Creating Publication-Quality Labels in Mathematica Plots,J. Grosse,cs.GR,http://arxiv.org/pdf/cs/0510087v1
cs/0603132v1,2006-03-31T19:58:30Z,Graphics Turing Test,Michael McGuigan,cs.GR,http://arxiv.org/pdf/cs/0603132v1
cs/0607050v2,2006-07-11T19:01:41Z,Interactive Hatching and Stippling by Example,Joëlle Thollot,cs.GR,http://arxiv.org/pdf/cs/0607050v2
cs/0609084v1,2006-09-15T07:21:11Z,Non-photorealistic image rendering with a labyrinthine tiling,B. Montrucchio,cs.GR,http://arxiv.org/pdf/cs/0609084v1
cs/0610088v1,2006-10-14T09:25:52Z,Vector field visualization with streamlines,B. Montrucchio,cs.GR,http://arxiv.org/pdf/cs/0610088v1
cs/0702026v1,2007-02-05T10:11:58Z,Shape preservation behavior of spline curves,Ravi Shankar Gautam,cs.GR,http://arxiv.org/pdf/cs/0702026v1
0708.0712v1,2007-08-06T07:42:56Z,Virtual Environments for Training: From Individual Learning to   Collaboration with Humanoids,Bruno Arnaldi,cs.GR,http://arxiv.org/pdf/0708.0712v1
0712.0121v1,2007-12-02T07:25:59Z,Efficient Binary and Run Length Morphology and its Application to   Document Image Processing,Thomas M. Breuel,cs.GR,http://arxiv.org/pdf/0712.0121v1
0801.1500v1,2008-01-09T20:51:02Z,Toward the Graphics Turing Scale on a Blue Gene Supercomputer,Michael McGuigan,cs.GR,http://arxiv.org/pdf/0801.1500v1
0801.2175v1,2008-01-15T18:34:44Z,MathPSfrag 2: Convenient LaTeX Labels in Mathematica,Johannes Große,cs.GR,http://arxiv.org/pdf/0801.2175v1
0804.0561v1,2008-04-03T13:49:51Z,Realistic Haptic Rendering of Interacting Deformable Objects in Virtual   Environments,Claude Andriot,cs.GR,http://arxiv.org/pdf/0804.0561v1
0807.1667v1,2008-07-10T14:40:35Z,Quasi-Mandelbrot sets for perturbed complex analytic maps: visual   patterns,A. V. Toporensky,cs.GR,http://arxiv.org/pdf/0807.1667v1
0812.1647v1,2008-12-09T10:12:36Z,Polyomino-Based Digital Halftoning,Victor Ostromoukhov,cs.GR,http://arxiv.org/pdf/0812.1647v1
0907.4364v2,2009-07-24T19:13:02Z,Dynamic Deformation of Uniform Elastic Two-Layer Objects,Miao Song,cs.GR,http://arxiv.org/pdf/0907.4364v2
0911.0902v1,2009-11-04T18:11:30Z,Digital Image Watermarking for Arbitrarily Shaped Objects Based On   SA-DWT,F. Fegragui,cs.GR,http://arxiv.org/pdf/0911.0902v1
0912.3923v1,2009-12-19T18:47:39Z,Secure Watermarking Scheme for Color Image Using Intensity of Pixel and   LSB Substitution,B. B. Amberker,cs.GR,http://arxiv.org/pdf/0912.3923v1
1001.3481v2,2010-01-20T07:35:21Z,Resolution scalability improvement for JPEG2000 standard color image,A. Arul Lawrence Selvakumar,cs.GR,http://arxiv.org/pdf/1001.3481v2
1001.3496v1,2010-01-20T08:08:39Z,Spatial Domain Watermarking Scheme for Colored Images Based on   Log-average Luminance,Jamal A. Hussein,cs.GR,http://arxiv.org/pdf/1001.3496v1
