cs/9811026v2,1998-11-16T19:42:30Z,Designing an interface to optimize reading with small display windows,Paul Muter,cs.HC,http://arxiv.org/pdf/cs/9811026v2
cs/9812023v1,1998-12-29T16:50:27Z,Virtual Kathakali : Gesture Driven Metamorphosis,Amitabha Mukerjee,cs.HC,http://arxiv.org/pdf/cs/9812023v1
cs/9903019v2,1999-03-30T21:28:07Z,Workflow Automation with Lotus Notes for the Governmental Administrative   Information System,Saulius Maskeliunas,cs.HC,http://arxiv.org/pdf/cs/9903019v2
cs/0101029v1,2001-01-26T07:27:02Z,Tap Tips: Lightweight Discovery of Touchscreen Targets,Allison Woodruff,cs.HC,http://arxiv.org/pdf/cs/0101029v1
cs/0101035v2,2001-01-28T07:14:46Z,"The Guidebook, the Friend, and the Room: Visitor Experience in a   Historic House",Margaret H. Szymanski,cs.HC,http://arxiv.org/pdf/cs/0101035v2
cs/0110006v1,2001-10-02T12:08:41Z,"Electronic Commerce, Consumer Search and Retailing Cost Reduction",Cristina Mazón,cs.HC,http://arxiv.org/pdf/cs/0110006v1
cs/0111024v1,2001-11-09T01:02:00Z,Building Multi-Platform User Interfaces with UIML,Marc Abrams,cs.HC,http://arxiv.org/pdf/cs/0111024v1
cs/0111025v1,2001-11-09T01:10:00Z,A Multi-Step Process for Generating Multi-Platform User Interfaces using   UIML,Marc Abrams,cs.HC,http://arxiv.org/pdf/cs/0111025v1
cs/0205054v1,2002-05-21T03:07:01Z,Eavesdropping on Electronic Guidebooks: Observing Learning Resources in   Shared Listening Environments,James D. Thornton,cs.HC,http://arxiv.org/pdf/cs/0205054v1
cs/0205055v1,2002-05-21T03:16:49Z,Practical Strategies for Integrating a Conversation Analyst in an   Iterative Design Process,Paul M. Aoki,cs.HC,http://arxiv.org/pdf/cs/0205055v1
cs/0210014v1,2002-10-16T07:42:30Z,Current state of the Sonix -- the IBR-2 instrument control software and   plans for future developments,A. S. Kirilov,cs.HC,http://arxiv.org/pdf/cs/0210014v1
cs/0211037v1,2002-11-26T15:41:59Z,Annotations for HTML to VoiceXML Transcoding: Producing Voice WebPages   with Usability in Mind,Manuel A. Perez-Quinones,cs.HC,http://arxiv.org/pdf/cs/0211037v1
cs/0304001v1,2003-03-31T22:49:29Z,Design Guidelines for Landmarks to Support Navigation in Virtual   Environments,Norman G. Vinson,cs.HC,http://arxiv.org/pdf/cs/0304001v1
cs/0305003v1,2003-05-05T11:32:59Z,The Ubiquitous Interactor - Device Independent Access to Mobile Services,Annika Waern,cs.HC,http://arxiv.org/pdf/cs/0305003v1
cs/0309001v2,2003-08-31T20:13:10Z,Media Affordances of a Mobile Push-To-Talk Communication Service,Paul M. Aoki,cs.HC,http://arxiv.org/pdf/cs/0309001v2
cs/0311006v1,2003-11-07T02:17:34Z,How Push-To-Talk Makes Talk Less Pushy,Paul M. Aoki,cs.HC,http://arxiv.org/pdf/cs/0311006v1
cs/0312017v1,2003-12-09T03:44:07Z,An Exploratory Study of Mobile Computing Use by Knowledge Workers,Paul Prekop,cs.HC,http://arxiv.org/pdf/cs/0312017v1
cs/0402036v1,2004-02-16T21:56:03Z,Towards a Model-Based Framework for Integrating Usability and Software   Engineering Life Cycles,H. Rex Hartson,cs.HC,http://arxiv.org/pdf/cs/0402036v1
cs/0405078v1,2004-05-23T09:53:12Z,Generative Programming of Graphical User Interfaces,Jean Vanderdonckt,cs.HC,http://arxiv.org/pdf/cs/0405078v1
cs/0405108v1,2004-05-28T02:53:46Z,"""User Interfaces"" and the Social Negotiation of Availability",Allison Woodruff,cs.HC,http://arxiv.org/pdf/cs/0405108v1
cs/0405109v1,2004-05-28T02:59:54Z,Conversation Analysis and the User Experience,Paul M. Aoki,cs.HC,http://arxiv.org/pdf/cs/0405109v1
cs/0409041v1,2004-09-23T19:08:17Z,Four Principles Fundamental to Design Practice for Human Centred Systems,Vita Hinze-Hoare,cs.HC,http://arxiv.org/pdf/cs/0409041v1
cs/0505011v1,2005-05-04T16:17:54Z,SWiM: A Simple Window Mover,Ramona Su,cs.HC,http://arxiv.org/pdf/cs/0505011v1
cs/0507019v1,2005-07-06T21:29:09Z,Making Space for Stories: Ambiguity in the Design of Personal   Communication Systems,Allison Woodruff,cs.HC,http://arxiv.org/pdf/cs/0507019v1
cs/0508041v2,2005-08-04T22:39:49Z,OpenVanilla - A Non-Intrusive Plug-In Framework of Text Services,Wen-Lien Hsu,cs.HC,http://arxiv.org/pdf/cs/0508041v2
cs/0508042v2,2005-08-04T22:49:38Z,OpenVanilla - A Non-Intrusive Plug-In Framework of Text Services,Wen-Lien Hsu,cs.HC,http://arxiv.org/pdf/cs/0508042v2
cs/0601021v1,2006-01-07T11:06:23Z,Lighting Control using Pressure-Sensitive Touchpads,Alexander Haubold,cs.HC,http://arxiv.org/pdf/cs/0601021v1
cs/0601025v1,2006-01-09T13:52:32Z,Prop-Based Haptic Interaction with Co-location and Immersion: an   Automotive Application,Sabine Coquillart,cs.HC,http://arxiv.org/pdf/cs/0601025v1
cs/0604103v1,2006-04-25T19:53:19Z,Further Evaluationh of VLEs using HCI and Educational Metrics,Vita Hinze-Hoare,cs.HC,http://arxiv.org/pdf/cs/0604103v1
cs/0606107v1,2006-06-26T15:58:40Z,Human Information Processing with the Personal Memex,Prince Vincent,cs.HC,http://arxiv.org/pdf/cs/0606107v1
cs/0607072v1,2006-07-14T16:00:40Z,Effect of Interface Style in Peer Review Comments for UML Designs,Stephen H. Edwards,cs.HC,http://arxiv.org/pdf/cs/0607072v1
cs/0608083v2,2006-08-21T01:42:52Z,"Where's the ""Party"" in ""Multi-Party""? Analyzing the Structure of   Small-Group Sociable Talk",Weilie Yi,cs.HC,http://arxiv.org/pdf/cs/0608083v2
cs/0611151v2,2006-11-29T16:22:18Z,Collaborative design : managing task interdependencies and multiple   perspectives,Françoise Détienne,cs.HC,http://arxiv.org/pdf/cs/0611151v2
cs/0611152v2,2006-11-29T16:24:20Z,Viewpoints in co-design: a field study in concurrent engineering,Elisabeth Lavigne,cs.HC,http://arxiv.org/pdf/cs/0611152v2
cs/0611153v2,2006-11-29T16:55:30Z,Changing our view on design evaluation meetings methodology: a study of   software technical review meetings,Pierre Robillard,cs.HC,http://arxiv.org/pdf/cs/0611153v2
cs/0611154v2,2006-11-29T16:57:41Z,Assessing the cognitive consequences of the object-oriented approach: a   survey of empirical research on object-oriented design by individuals and   teams,Françoise Détienne,cs.HC,http://arxiv.org/pdf/cs/0611154v2
cs/0611158v2,2006-11-30T13:28:29Z,Articulation entre élaboration de solutions et argumentation   polyphonique,Arnauld Séjourné,cs.HC,http://arxiv.org/pdf/cs/0611158v2
cs/0611159v2,2006-11-30T09:50:30Z,Cognitive Effort in Collective Software Design: Methodological   Perspectives in Cognitive Ergonomics,Willemien Visser,cs.HC,http://arxiv.org/pdf/cs/0611159v2
cs/0612004v2,2006-11-30T22:42:06Z,"Object-Oriented Program Comprehension: Effect of Expertise, Task and   Phase",Susan Wiedenbeck,cs.HC,http://arxiv.org/pdf/cs/0612004v2
cs/0612005v2,2006-11-30T22:43:22Z,Quantitative Measurements of the Influence of Participant Roles during   Peer Review Meetings,Willemien Visser,cs.HC,http://arxiv.org/pdf/cs/0612005v2
cs/0612006v1,2006-11-30T22:49:11Z,Evocation and elaboration of solutions: Different types of   problem-solving actions. An empirical study on the design of an aerospace   artifact,Willemien Visser,cs.HC,http://arxiv.org/pdf/cs/0612006v1
cs/0612008v2,2006-12-01T11:42:02Z,Design Strategies and Knowledge in Object-Oriented Programming: Effects   of Experience,Françoise Détienne,cs.HC,http://arxiv.org/pdf/cs/0612008v2
