cs/0002010v1,2000-02-16T18:22:32Z,Biologically Motivated Distributed Designs for Adaptive Knowledge   Management,Johan Bollen,cs.IR,http://arxiv.org/pdf/cs/0002010v1
cs/0003001v1,2000-03-01T18:11:08Z,Making news understandable to computers,Erik T. Mueller,cs.IR,http://arxiv.org/pdf/cs/0003001v1
cs/0007017v1,2000-07-13T07:58:53Z,Fuzzy data: XML may handle it,J. Dudeck,cs.IR,http://arxiv.org/pdf/cs/0007017v1
cs/0102002v1,2001-02-01T23:03:49Z,On the Automated Classification of Web Sites,John M. Pierre,cs.IR,http://arxiv.org/pdf/cs/0102002v1
cs/0209021v1,2002-09-19T06:53:51Z,"Activities, Context and Ubiquitous Computing",Mark Burnett,cs.IR,http://arxiv.org/pdf/cs/0209021v1
cs/0306021v2,2003-06-04T19:40:04Z,Visualization for Periodic Population Movement between Distinct   Localities,Alexander Haubold,cs.IR,http://arxiv.org/pdf/cs/0306021v2
cs/0306026v1,2003-06-05T12:20:32Z,BdbServer++: A User Driven Data Location and Retrieval Tool,D. Boutigany,cs.IR,http://arxiv.org/pdf/cs/0306026v1
cs/0306094v1,2003-06-16T06:12:04Z,BaBar - A Community Web Site in an Organizational Setting,Bebo White,cs.IR,http://arxiv.org/pdf/cs/0306094v1
cs/0308042v1,2003-08-27T13:32:29Z,Centralized reward system gives rise to fast and efficient work sharing   for intelligent Internet agents lacking direct communication,Andras Lorincz,cs.IR,http://arxiv.org/pdf/cs/0308042v1
cs/0402061v1,2004-02-27T14:13:01Z,A Correlation-Based Distance,Paul Albuquerque,cs.IR,http://arxiv.org/pdf/cs/0402061v1
cs/0410055v1,2004-10-21T15:51:20Z,Mathematical knowledge management is needed,Michiel Hazewinkel,cs.IR,http://arxiv.org/pdf/cs/0410055v1
cs/0411026v1,2004-11-08T20:49:42Z,A Search Relevancy Tuning Method Using Expert Results Content Evaluation,Boris Mark Tylevich,cs.IR,http://arxiv.org/pdf/cs/0411026v1
cs/0503011v1,2005-03-04T10:29:34Z,Shuffling a Stacked Deck: The Case for Partially Randomized Ranking of   Search Engine Results,Soumen Chakrabarti,cs.IR,http://arxiv.org/pdf/cs/0503011v1
cs/0503020v1,2005-03-08T22:26:07Z,Earlier Web Usage Statistics as Predictors of Later Citation Impact,Stevan Harnad,cs.IR,http://arxiv.org/pdf/cs/0503020v1
cs/0503021v1,2005-03-08T22:44:37Z,Fast-Forward on the Green Road to Open Access: The Case Against Mixing   Up Green and Gold,Stevan Harnad,cs.IR,http://arxiv.org/pdf/cs/0503021v1
cs/0505039v1,2005-05-14T17:48:07Z,Methods for comparing rankings of search engine results,Mark Levene,cs.IR,http://arxiv.org/pdf/cs/0505039v1
cs/0506047v1,2005-06-12T16:39:01Z,Analyse et expansion des textes en question-réponse,Bernard Jacquemin,cs.IR,http://arxiv.org/pdf/cs/0506047v1
cs/0506048v1,2005-06-12T16:44:05Z,Enriching a Text by Semantic Disambiguation for Information Extraction,Claude Roux,cs.IR,http://arxiv.org/pdf/cs/0506048v1
cs/0507024v2,2005-07-08T13:42:42Z,Experiments in Clustering Homogeneous XML Documents to Validate an   Existing Typology,Anne-Marie Vercoustre,cs.IR,http://arxiv.org/pdf/cs/0507024v2
cs/0507069v1,2005-07-28T15:02:04Z,Users and Assessors in the Context of INEX: Are Relevance Dimensions   Relevant?,Anne-Marie Vercoustre,cs.IR,http://arxiv.org/pdf/cs/0507069v1
cs/0507070v1,2005-07-28T19:19:12Z,Hybrid XML Retrieval: Combining Information Retrieval and a Native XML   Database,Anne-Marie Vercoustre,cs.IR,http://arxiv.org/pdf/cs/0507070v1
