cs/0306119v1,2003-06-20T15:12:22Z,A Method for Solving Distributed Service Allocation Problems,Jose M Vidal,cs.MA,http://arxiv.org/pdf/cs/0306119v1
cs/0401025v1,2004-01-27T03:42:03Z,Running C++ models undet the Swarm environment,Russell K. Standish,cs.MA,http://arxiv.org/pdf/cs/0401025v1
cs/0401026v1,2004-01-27T03:46:30Z,EcoLab: Agent Based Modeling for C++ programmers,Richard Leow,cs.MA,http://arxiv.org/pdf/cs/0401026v1
cs/0407025v1,2004-07-10T11:16:45Z,An agent framework for dynamic agent retraining: Agent academy,A. Dogac,cs.MA,http://arxiv.org/pdf/cs/0407025v1
cs/0502094v1,2005-02-27T18:16:30Z,"Coalition Formation: Concessions, Task Relationships and Complexity   Reduction",Onn Shehory,cs.MA,http://arxiv.org/pdf/cs/0502094v1
cs/0506092v1,2005-06-24T16:46:47Z,Emergent Statistical Wealth Distributions in Simple Monetary Exchange   Models: A Critical Review,Thomas Lux,cs.MA,http://arxiv.org/pdf/cs/0506092v1
cs/0509037v1,2005-09-14T07:30:42Z,Friends for Free: Self-Organizing Artificial Social Networks for Trust   and Cooperation,Stefano Arteconi,cs.MA,http://arxiv.org/pdf/cs/0509037v1
cs/0509050v1,2005-09-16T17:15:46Z,Effect of door delay on aircraft evacuation time,Andrew Wood,cs.MA,http://arxiv.org/pdf/cs/0509050v1
cs/0602056v1,2006-02-15T14:46:05Z,Building Scenarios for Environmental Management and Planning: An   IT-Based Approach,Domenico Camarda,cs.MA,http://arxiv.org/pdf/cs/0602056v1
cs/0603126v1,2006-03-30T22:53:15Z,Open at the Top; Open at the Bottom; and Continually (but Slowly)   Evolving,Russ Abbott,cs.MA,http://arxiv.org/pdf/cs/0603126v1
cs/0603127v1,2006-03-30T22:58:12Z,Complex Systems + Systems Engineering = Complex Systems Engineeri,Russ Abbott,cs.MA,http://arxiv.org/pdf/cs/0603127v1
cs/0609041v1,2006-09-08T10:12:35Z,Primitive operations for the construction and reorganization of   minimally persistent formations,Vincent D. Blondel,cs.MA,http://arxiv.org/pdf/cs/0609041v1
cs/0612014v1,2006-12-04T11:02:28Z,Going Stupid with EcoLab,Russell K. Standish,cs.MA,http://arxiv.org/pdf/cs/0612014v1
cs/0701087v2,2007-01-13T16:50:37Z,Artificiality in Social Sciences,Jean-Philippe Rennard,cs.MA,http://arxiv.org/pdf/cs/0701087v2
cs/0702091v1,2007-02-16T16:16:49Z,Observable Graphs,Vincent D. Blondel,cs.MA,http://arxiv.org/pdf/cs/0702091v1
0705.1757v1,2007-05-12T10:11:57Z,Scalability and Optimisation of a Committee of Agents Using Genetic   Algorithm,J. Goossenaerts,cs.MA,http://arxiv.org/pdf/0705.1757v1
0705.3050v1,2007-05-22T14:26:05Z,A competitive multi-agent model of interbank payment systems,Kimmo Soramaki,cs.MA,http://arxiv.org/pdf/0705.3050v1
0707.1558v1,2007-07-11T05:05:57Z,Autonomy with regard to an Attribute,Eric Sanchis,cs.MA,http://arxiv.org/pdf/0707.1558v1
0802.4450v1,2008-02-29T19:05:31Z,A Study On Distributed Model Predictive Consensus,Karl Henrik Johansson,cs.MA,http://arxiv.org/pdf/0802.4450v1
0806.3031v1,2008-06-18T15:46:10Z,Multi Site Coordination using a Multi-Agent System,Didier Anciaux,cs.MA,http://arxiv.org/pdf/0806.3031v1
0806.3032v1,2008-06-18T15:46:29Z,Multi-agents architecture for supply chain management,Latifa Ouzizi,cs.MA,http://arxiv.org/pdf/0806.3032v1
0807.2028v4,2008-07-13T12:33:28Z,On Krause's multi-agent consensus model with state-dependent   connectivity (Extended version),John N. Tsitsiklis,cs.MA,http://arxiv.org/pdf/0807.2028v4
0903.2543v1,2009-03-14T12:13:32Z,Multi-Agent Crisis Response systems - Design Requirements and Analysis   of Current Systems,Abdel-Badeeh M. Salem,cs.MA,http://arxiv.org/pdf/0903.2543v1
0904.3669v1,2009-04-23T11:54:55Z,Collaborative systems and multiagent systems,Cristina Ofelia Sofran,cs.MA,http://arxiv.org/pdf/0904.3669v1
0905.0747v1,2009-05-06T06:11:29Z,Self-stabilizing Determinsitic Gathering,Franck Petit,cs.MA,http://arxiv.org/pdf/0905.0747v1
0908.1076v1,2009-08-07T15:43:26Z,Multi-Agent Model Predictive Control: A Survey,J. Hellendoorn,cs.MA,http://arxiv.org/pdf/0908.1076v1
0911.0753v1,2009-11-04T09:19:37Z,An XML-based Multi-Agent System for Supporting Online Recruitment   Services,D. Ursino,cs.MA,http://arxiv.org/pdf/0911.0753v1
0911.0912v1,2009-11-04T19:11:06Z,Multi-Agent System Interaction in Integrated SCM,G. N. Purohit,cs.MA,http://arxiv.org/pdf/0911.0912v1
0911.2902v1,2009-11-15T18:31:21Z,Simulation of Pedestrians Crossing a Street,Tobias Kretz,cs.MA,http://arxiv.org/pdf/0911.2902v1
0911.3723v1,2009-11-19T08:38:30Z,Applications of the Dynamic Distance Potential Field Method,Tobias Kretz,cs.MA,http://arxiv.org/pdf/0911.3723v1
0912.3961v1,2009-12-20T02:26:28Z,Enhancing Multi-Agent Based Simulation with Human-Agents Interactive   Spatial Behaviour,Hung-Ming Shiu,cs.MA,http://arxiv.org/pdf/0912.3961v1
0912.3984v1,2009-12-20T05:25:13Z,Multi-Agent Model using Secure Multi-Party Computing in e-Governance,Samiksha Shukla,cs.MA,http://arxiv.org/pdf/0912.3984v1
0912.4637v1,2009-12-23T13:23:58Z,Local and Global Trust Based on the Concept of Promises,Mark Burgess,cs.MA,http://arxiv.org/pdf/0912.4637v1
1001.0115v1,2009-12-31T10:35:55Z,Developing Artificial Herders Using Jason,Jørgen Villadsen,cs.MA,http://arxiv.org/pdf/1001.0115v1
1001.4419v1,2010-01-25T13:10:54Z,A Framework to Manage the Complex Organisation of Collaborating: Its   Application to Autonomous Systems,Nick Forbes,cs.MA,http://arxiv.org/pdf/1001.4419v1
1004.4450v1,2010-04-26T09:37:46Z,Improving Supply Chain Coordination by Linking Dynamic Procurement   Decision to Multi-Agent System,Yee Ming Chen,cs.MA,http://arxiv.org/pdf/1004.4450v1
1004.4454v1,2010-04-26T09:43:28Z,Crowd simulation influenced by agent's socio-psychological state,R. Chighoub,cs.MA,http://arxiv.org/pdf/1004.4454v1
1007.0803v1,2010-07-06T04:00:10Z,Soft Control on Collective Behavior of a Group of Autonomous Agents by a   Shill Agent,Lei Guo,cs.MA,http://arxiv.org/pdf/1007.0803v1
1008.2160v1,2010-08-12T16:17:54Z,An early warning method for crush,Martyn Amos,cs.MA,http://arxiv.org/pdf/1008.2160v1
1009.2997v1,2010-09-15T18:55:48Z,Sensor Scheduling for Energy-Efficient Target Tracking in Sensor   Networks,Jason A. Fuemmeler,cs.MA,http://arxiv.org/pdf/1009.2997v1
1010.0145v1,2010-10-01T12:37:26Z,Multi-Agent Programming Contest 2010 - The Jason-DTU Team,Steen Vester,cs.MA,http://arxiv.org/pdf/1010.0145v1
1010.0150v1,2010-10-01T13:03:02Z,Implementing Lego Agents Using Jason,Andreas Schmidt Jensen,cs.MA,http://arxiv.org/pdf/1010.0150v1
1010.0155v1,2010-10-01T13:25:31Z,An Investigation of the Advantages of Organization-Centered Multi-Agent   Systems,Andreas Schmidt Jensen,cs.MA,http://arxiv.org/pdf/1010.0155v1
1011.5914v1,2010-11-26T21:17:31Z,Static and Expanding Grid Coverage with Ant Robots : Complexity Results,Alfred Bruckstein,cs.MA,http://arxiv.org/pdf/1011.5914v1
1011.6127v1,2010-11-29T03:57:51Z,Visibility maintenance via controlled invariance for leader-follower   Dubins-like vehicles,Domenico Prattichizzo,cs.MA,http://arxiv.org/pdf/1011.6127v1
1012.1651v1,2010-12-08T00:23:53Z,The Rule Responder eScience Infrastructure,Zhili Zhao,cs.MA,http://arxiv.org/pdf/1012.1651v1
