cs/9809009v1,1998-09-02T19:27:07Z,Developing numerical libraries in Java,G. W. Stewart,cs.MS,http://arxiv.org/pdf/cs/9809009v1
cs/9809105v1,1998-09-24T20:56:11Z,Hyper-Systolic Matrix Multiplication,Klaus Schilling,cs.MS,http://arxiv.org/pdf/cs/9809105v1
cs/0004004v1,2000-04-13T13:43:48Z,"Mathematical Software: Past, Present, and Future",Ronald F. Boisvert,cs.MS,http://arxiv.org/pdf/cs/0004004v1
cs/0101001v1,2001-01-03T17:33:59Z,Automatic Differentiation Tools in Optimization Software,Jorge J. Moré,cs.MS,http://arxiv.org/pdf/cs/0101001v1
cs/0101018v1,2001-01-19T21:14:52Z,GPCG: A Case Study in the Performance and Scalability of Optimization   Algorithms,Jorge J. Moré,cs.MS,http://arxiv.org/pdf/cs/0101018v1
cs/0102001v2,2001-02-01T20:37:46Z,Benchmarking Optimization Software with Performance Profiles,Jorge J. Moré,cs.MS,http://arxiv.org/pdf/cs/0102001v2
cs/0106051v1,2001-06-25T19:30:10Z,Users Guide for SnadiOpt: A Package Adding Automatic Differentiation to   Snopt,Julia Muetherig,cs.MS,http://arxiv.org/pdf/cs/0106051v1
cs/0107025v2,2001-07-19T13:18:31Z,Computer validated proofs of a toolset for adaptable arithmetic,Laurent Thery,cs.MS,http://arxiv.org/pdf/cs/0107025v2
cs/0306127v1,2003-06-24T12:37:26Z,Development of a Java Package for Matrix Programming,Henry BK Teo,cs.MS,http://arxiv.org/pdf/cs/0306127v1
cs/0307009v1,2003-07-04T13:15:09Z,"Finding the ""truncated"" polynomial that is closest to a function",Jean-Michel Muller,cs.MS,http://arxiv.org/pdf/cs/0307009v1
cs/0310057v1,2003-10-28T19:41:44Z,An Introduction to Using Software Tools for Automatic Differentiation,Andrea Walther,cs.MS,http://arxiv.org/pdf/cs/0310057v1
cs/0406049v1,2004-06-25T20:37:44Z,"A Fast, Vectorizable Algorithm for Producing Single-Precision   Sine-Cosine Pairs",Marcus H. Mendenhall,cs.MS,http://arxiv.org/pdf/cs/0406049v1
