cs/9907005v1,1999-07-06T11:48:33Z,Alternative Local Discriminant Bases Using Empirical Expectation and   Variance Estimation,Eirik Fossgaard,cs.NA,http://arxiv.org/pdf/cs/9907005v1
cs/0102023v1,2001-02-23T14:24:08Z,Factored Notation for Interval I/O,M. H. van Emden,cs.NA,http://arxiv.org/pdf/cs/0102023v1
cs/0201015v1,2002-01-17T22:31:21Z,On the Significance of Digits in Interval Notation,M. H. van Emden,cs.NA,http://arxiv.org/pdf/cs/0201015v1
cs/0206031v1,2002-06-20T18:44:11Z,A sufficient condition for global invertibility of Lipschitz mapping,S. Tarasov,cs.NA,http://arxiv.org/pdf/cs/0206031v1
cs/0210015v2,2002-10-16T23:22:13Z,New Developments in Interval Arithmetic and Their Implications for   Floating-Point Standardization,M. H. van Emden,cs.NA,http://arxiv.org/pdf/cs/0210015v2
cs/0306015v1,2003-06-02T12:26:18Z,Computing sharp and scalable bounds on errors in approximate zeros of   univariate polynomials,Sudhir Kumar Singh,cs.NA,http://arxiv.org/pdf/cs/0306015v1
cs/0404034v1,2004-04-16T00:23:32Z,Propagation by Selective Initialization and Its Application to Numerical   Constraint Satisfaction Problems,B. Moa,cs.NA,http://arxiv.org/pdf/cs/0404034v1
cs/0407022v4,2004-07-09T20:08:41Z,Solving Elliptic Finite Element Systems in Near-Linear Time with Support   Preconditioners,Stephen Vavasis,cs.NA,http://arxiv.org/pdf/cs/0407022v4
cs/0410045v4,2004-10-18T22:33:59Z,Analysis of and workarounds for element reversal for a finite   element-based algorithm for warping triangular and tetrahedral meshes,Stephen A. Vavasis,cs.NA,http://arxiv.org/pdf/cs/0410045v4
cs/0412009v1,2004-12-02T21:28:13Z,A Fully Sparse Implementation of a Primal-Dual Interior-Point Potential   Reduction Method for Semidefinite Programming,Stephen A. Vavasis,cs.NA,http://arxiv.org/pdf/cs/0412009v1
cs/0501041v1,2005-01-20T13:20:27Z,Two Iterative Algorithms for Solving Systems of Simultaneous Linear   Algebraic Equations with Real Matrices of Coefficients,N. P. Polishchuk,cs.NA,http://arxiv.org/pdf/cs/0501041v1
