cs/9903005v1,1999-03-04T08:35:21Z,Numeration systems on a regular language,Michel Rigo,cs.OH,http://arxiv.org/pdf/cs/9903005v1
cs/9911010v1,1999-11-17T17:18:42Z,The Sources of Certainty in Computation and Formal Systems,Michael J. O'Donnell,cs.OH,http://arxiv.org/pdf/cs/9911010v1
cs/0002018v2,2000-02-29T16:56:46Z,Efficient generation of rotating workforce schedules,Wolfgang Slany,cs.OH,http://arxiv.org/pdf/cs/0002018v2
cs/0003075v1,2000-03-23T16:19:44Z,On the theory of system administration,Mark Burgess,cs.OH,http://arxiv.org/pdf/cs/0003075v1
cs/0007034v1,2000-07-25T05:54:50Z,The Competitiveness of On-Line vis-a-vis Conventional Retailing: A   Preliminary Study,Ivan Png,cs.OH,http://arxiv.org/pdf/cs/0007034v1
cs/0012016v1,2000-12-20T16:45:29Z,A Virtual Java Simulation Lab for Computer Science Students,Laura Fava,cs.OH,http://arxiv.org/pdf/cs/0012016v1
cs/0108012v1,2001-08-22T20:52:46Z,A polynomial axles-detection algorithm for a four-contacts treadle,Giancarlo Crocetti,cs.OH,http://arxiv.org/pdf/cs/0108012v1
cs/0110029v3,2001-10-13T10:53:14Z,"How to Commission, Operate and Maintain a Large Future Accelerator   Complex from Far Remote",C. Zhang,cs.OH,http://arxiv.org/pdf/cs/0110029v3
cs/0110066v1,2001-10-31T19:56:17Z,Overview of the Experimental Physics and Industrial Control System   (EPICS) Channel Archiver,L. R. Dalesio,cs.OH,http://arxiv.org/pdf/cs/0110066v1
cs/0111001v1,2001-10-31T21:13:20Z,Integrating LabVIEW into a Distributed Computing Environment,L. R. Dalesio,cs.OH,http://arxiv.org/pdf/cs/0111001v1
cs/0111002v1,2001-10-31T23:58:42Z,"L-Fuzzy Valued Inclusion Measure, L-Fuzzy Similarity and L-Fuzzy   Distance",M. Konstantinidou,cs.OH,http://arxiv.org/pdf/cs/0111002v1
cs/0111017v1,2001-11-08T17:13:52Z,First Experiences Integrating PC Distributed I/O Into Argonne's ATLAS   Control System,K. J. Eder,cs.OH,http://arxiv.org/pdf/cs/0111017v1
cs/0111020v1,2001-11-08T22:04:43Z,Gemini MCAO Control System,B. Ellerbroek,cs.OH,http://arxiv.org/pdf/cs/0111020v1
cs/0111044v1,2001-11-16T20:33:36Z,SNS Standard Power Supply Interface,J. Smith,cs.OH,http://arxiv.org/pdf/cs/0111044v1
cs/0111055v2,2001-11-21T01:18:15Z,Overview of the NSTX Control System,P. Roney,cs.OH,http://arxiv.org/pdf/cs/0111055v2
cs/0206025v1,2002-06-17T21:56:25Z,The Lattice of Fuzzy Intervals and Sufficient Conditions for its   Distributivity,Ath. Kehagias,cs.OH,http://arxiv.org/pdf/cs/0206025v1
cs/0207007v1,2002-07-03T16:59:23Z,Evolutionary Circuit Design: Information Theory Perspective on Signal   Propagation,Nawar Al-Hakeem,cs.OH,http://arxiv.org/pdf/cs/0207007v1
cs/0207019v1,2002-07-05T00:47:56Z,Information Measures in Detecting and Recognizing Symmetries,Denis V. Popel,cs.OH,http://arxiv.org/pdf/cs/0207019v1
cs/0207020v1,2002-07-05T01:02:55Z,Towards Efficient Calculation of Information Measures for Reordering of   Binary Decision Diagrams,Denis V. Popel,cs.OH,http://arxiv.org/pdf/cs/0207020v1
cs/0209026v1,2002-09-23T14:26:26Z,A universal alphabet and rewrite system,Bernard Diaz,cs.OH,http://arxiv.org/pdf/cs/0209026v1
cs/0304042v2,2003-04-29T01:48:44Z,On probabilistic analog automata,H. Siegelmann,cs.OH,http://arxiv.org/pdf/cs/0304042v2
cs/0305043v1,2003-05-24T21:00:43Z,Modeling of aerodynamic Space-to-Surface flight with optimal trajectory   for targeting,Serge Gornev,cs.OH,http://arxiv.org/pdf/cs/0305043v1
cs/0305047v1,2003-05-28T12:34:03Z,CASTOR status and evolution,Olof Barring,cs.OH,http://arxiv.org/pdf/cs/0305047v1
cs/0306014v1,2003-06-02T12:01:18Z,SCRAM: Software configuration and management for the LHC Computing Grid   project,S. Ashby,cs.OH,http://arxiv.org/pdf/cs/0306014v1
cs/0306024v1,2003-06-05T10:07:19Z,Monitoring Systems and Services,Alwin Brokmann,cs.OH,http://arxiv.org/pdf/cs/0306024v1
cs/0306033v1,2003-06-06T16:49:30Z,Multi-valued Connectives for Fuzzy Sets,K. Serafimidis,cs.OH,http://arxiv.org/pdf/cs/0306033v1
cs/0401013v1,2004-01-16T14:12:40Z,Verification of Process Rewrite Systems in normal form,Laura Bozzelli,cs.OH,http://arxiv.org/pdf/cs/0401013v1
cs/0403004v1,2004-03-04T23:08:41Z,"New Visualization of Surfaces in Parallel Coordinates - Eliminating   Ambiguity and Some ""Over-Plotting""",Zur Izhakian,cs.OH,http://arxiv.org/pdf/cs/0403004v1
cs/0403005v1,2004-03-04T23:35:06Z,"Algebraic Curves in Parallel Coordinates - Avoiding the ""Over-Plotting""   Problem",Zur Izhakian,cs.OH,http://arxiv.org/pdf/cs/0403005v1
cs/0403026v1,2004-03-15T20:52:11Z,"What we should teach, but don't: Proposal for a cross pollinated HCI-SE   curriculum",H. Rex Hartson,cs.OH,http://arxiv.org/pdf/cs/0403026v1
cs/0405003v1,2004-05-03T15:19:58Z,Model checking for Process Rewrite Systems and a class of action--based   regular properties,Laura Bozzelli,cs.OH,http://arxiv.org/pdf/cs/0405003v1
cs/0406018v1,2004-06-11T11:33:55Z,Effects of wireless computing technology,A. A. Eremin,cs.OH,http://arxiv.org/pdf/cs/0406018v1
cs/0407030v1,2004-07-12T14:02:29Z,Scheduling with Fuzzy Methods,Wolfgang Anthony Eiden,cs.OH,http://arxiv.org/pdf/cs/0407030v1
cs/0409037v1,2004-09-19T09:56:24Z,Business Processes: The Theoretical Impact of Process Thinking on   Information Systems Development,Mark Dumay,cs.OH,http://arxiv.org/pdf/cs/0409037v1
cs/0410006v1,2004-10-03T20:03:17Z,Demo or Practice: Critical Analysis of the Language/Action Perspective,Mark Dumay,cs.OH,http://arxiv.org/pdf/cs/0410006v1
cs/0412010v1,2004-12-02T21:32:50Z,Toward a Human-Centered Uml for Risk Analysis,Guy Boy,cs.OH,http://arxiv.org/pdf/cs/0412010v1
cs/0412011v1,2004-12-03T02:33:22Z,Successful E-Business Systems - Paypal,Archil Avaliani,cs.OH,http://arxiv.org/pdf/cs/0412011v1
cs/0503005v2,2005-03-02T12:17:51Z,High efficiency and low absorption Fresnel compound zone plates for hard   X-ray focusing,K. Trouni,cs.OH,http://arxiv.org/pdf/cs/0503005v2
cs/0503017v2,2005-03-07T23:32:27Z,A Fast Combined Decimal Adder/Subtractor,Cheng-Chew Lim,cs.OH,http://arxiv.org/pdf/cs/0503017v2
cs/0504087v3,2005-04-19T21:53:09Z,Improved direct sum theorem in classical communication complexity,Rahul Jain,cs.OH,http://arxiv.org/pdf/cs/0504087v3
cs/0505040v1,2005-05-14T17:59:51Z,Asynchronous pseudo-systems,Serban E. Vlad,cs.OH,http://arxiv.org/pdf/cs/0505040v1
cs/0507054v4,2005-07-21T13:32:15Z,f2mma: FORTRAN to Mathematica translator,A. S. Siver,cs.OH,http://arxiv.org/pdf/cs/0507054v4
cs/0508128v1,2005-08-30T00:02:28Z,Mapping DEVS Models onto UML Models,Dmitry Zinoviev,cs.OH,http://arxiv.org/pdf/cs/0508128v1
cs/0512022v1,2005-12-06T01:21:39Z,Fat Tailed Distributions in Catastrophe Prediction,Louis Mello,cs.OH,http://arxiv.org/pdf/cs/0512022v1
cs/0512103v1,2005-12-28T18:21:08Z,The Fibonacci Sequence Mod m,Louis Mello,cs.OH,http://arxiv.org/pdf/cs/0512103v1
cs/0602009v102,2006-02-06T19:25:54Z,Efficient Teamwork,Endre Csóka,cs.OH,http://arxiv.org/pdf/cs/0602009v102
cs/0602017v1,2006-02-06T13:01:24Z,Quasi-Linear Soft Tissue Models Revisited,Raul A. Feijóo,cs.OH,http://arxiv.org/pdf/cs/0602017v1
cs/0602066v1,2006-02-17T17:01:00Z,Natural Economics,Louis Mello,cs.OH,http://arxiv.org/pdf/cs/0602066v1
cs/0603105v1,2006-03-27T13:21:21Z,A unifying framework for seed sensitivity and its application to subset   seeds (Extended abstract),Mikhail Roytberg,cs.OH,http://arxiv.org/pdf/cs/0603105v1
cs/0603106v1,2006-03-27T13:26:12Z,Estimating seed sensitivity on homogeneous alignments,Yann Ponty,cs.OH,http://arxiv.org/pdf/cs/0603106v1
cs/0603113v1,2006-03-29T01:21:34Z,Mathematical Modeling of Aerodynamic Space -to - Surface Flight with   Trajectory for Avoid Intercepting Process,Serge Gornev,cs.OH,http://arxiv.org/pdf/cs/0603113v1
cs/0605018v1,2006-05-05T00:35:59Z,"Computational Modeling in Applied Problems: collected papers on   econometrics, operations research, game theory and simulation",Jose L. Salmeron,cs.OH,http://arxiv.org/pdf/cs/0605018v1
cs/0605063v1,2006-05-15T10:57:08Z,An Electronic Payment System to Ensure Cost Effectiveness with Easy   Security Incorporation for the Developing Countries,Al-Mukaddim Khan Pathan,cs.OH,http://arxiv.org/pdf/cs/0605063v1
cs/0606046v1,2006-06-10T10:37:24Z,Authorised Translations of Electronic Documents,Andreas U. Schmidt,cs.OH,http://arxiv.org/pdf/cs/0606046v1
cs/0606111v1,2006-06-27T14:55:40Z,Models simulation and interoperability using MDA and HLA,Hind El Haouzi,cs.OH,http://arxiv.org/pdf/cs/0606111v1
cs/0607144v1,2006-07-31T15:43:00Z,Levels of Product Differentiation in the Global Mobile Phones Market,Stanimir Andonov,cs.OH,http://arxiv.org/pdf/cs/0607144v1
cs/0609070v2,2006-09-12T19:49:55Z,Exploring Computer Science Concepts with a Ready-made Computer Game   Framework,Thomas P. Way,cs.OH,http://arxiv.org/pdf/cs/0609070v2
cs/0610005v1,2006-10-02T04:38:00Z,Domain Wall Displacement Detection Technology Research Report,Ran Ren,cs.OH,http://arxiv.org/pdf/cs/0610005v1
cs/0611013v1,2006-11-03T14:07:55Z,Developing strategies to produce better scientific papers: a Recipe for   non-native users of English,Sandra M. Aluisio,cs.OH,http://arxiv.org/pdf/cs/0611013v1
cs/0611021v1,2006-11-05T08:31:28Z,Relatively inertial delays,Serban E. Vlad,cs.OH,http://arxiv.org/pdf/cs/0611021v1
