cs/0212022v1,2002-12-10T16:36:50Z,Algorithms for Rapidly Dispersing Robot Swarms in Unknown Environments,Joseph S. B. Mitchell,cs.RO,http://arxiv.org/pdf/cs/0212022v1
cs/0212027v1,2002-12-11T12:16:47Z,Qualitative Study of a Robot Arm as a Hamiltonian System,A. G. Cyrino,cs.RO,http://arxiv.org/pdf/cs/0212027v1
cs/0311019v1,2003-11-17T19:15:59Z,Replay Debugging of Complex Real-Time Systems: Experiences from Two   Industrial Case Studies,Mattias Kallvi,cs.RO,http://arxiv.org/pdf/cs/0311019v1
cs/0411020v1,2004-11-08T20:44:03Z,Dynamic Modelling and Adaptive Traction Control for Mobile Robots,Wahyudi,cs.RO,http://arxiv.org/pdf/cs/0411020v1
cs/0411021v1,2004-11-08T20:45:18Z,Coevolution Based Adaptive Monte Carlo Localization (CEAMCL),Hong Bingrong,cs.RO,http://arxiv.org/pdf/cs/0411021v1
cs/0411023v1,2004-11-08T20:24:32Z,Design and Implementation of a General Decision-making Model in RoboCup   Simulation,Shiguang Ju,cs.RO,http://arxiv.org/pdf/cs/0411023v1
cs/0411024v1,2004-11-08T20:28:48Z,Space Robotics Part 2: Space-based Manipulators,Alex Ellery,cs.RO,http://arxiv.org/pdf/cs/0411024v1
cs/0412050v1,2004-12-11T12:38:11Z,Gyroscopically Stabilized Robot: Balance and Tracking,Yangsheng Xu,cs.RO,http://arxiv.org/pdf/cs/0412050v1
cs/0412051v1,2004-12-11T12:42:10Z,Dynamic replanning in uncertain environments for a sewer inspection   robot,Joachim Hertzberg,cs.RO,http://arxiv.org/pdf/cs/0412051v1
cs/0412052v1,2004-12-11T12:45:08Z,WebotsTM: Professional Mobile Robot Simulation,Olivier Michel,cs.RO,http://arxiv.org/pdf/cs/0412052v1
cs/0412053v1,2004-12-11T12:48:08Z,Dynamic simulation of task constrained of a rigid-flexible manipulator,Habib Johar,cs.RO,http://arxiv.org/pdf/cs/0412053v1
cs/0412054v1,2004-12-11T12:50:36Z,Assembly and Disassembly Planning by using Fuzzy Logic & Genetic   Algorithms,R. Spina,cs.RO,http://arxiv.org/pdf/cs/0412054v1
cs/0412055v1,2004-12-11T12:52:58Z,Robotic Applications in Cardiac Surgery,W. Randolph Chitwood Jr,cs.RO,http://arxiv.org/pdf/cs/0412055v1
cs/0412056v1,2004-12-11T12:55:30Z,One-Chip Solution to Intelligent Robot Control: Implementing Hexapod   Subsumption Architecture Using a Contemporary Microprocessor,Ryuichi Iwamasa,cs.RO,http://arxiv.org/pdf/cs/0412056v1
cs/0412057v1,2004-12-11T12:57:33Z,How to achieve various gait patterns from single nominal,Branislav Borovac,cs.RO,http://arxiv.org/pdf/cs/0412057v1
cs/0504081v1,2005-04-18T03:53:27Z,A Decomposition Approach to Multi-Vehicle Cooperative Control,Raffaello D'Andrea,cs.RO,http://arxiv.org/pdf/cs/0504081v1
