cs/9810022v1,1998-10-26T16:52:34Z,Broy-Lamport Specification Problem: A Gurevich Abstract State Machine   Solution,James K. Huggins,cs.SE,http://arxiv.org/pdf/cs/9810022v1
cs/9810023v1,1998-10-26T18:46:06Z,Equivalence is in the Eye of the Beholder,James K. Huggins,cs.SE,http://arxiv.org/pdf/cs/9810023v1
cs/9810024v1,1998-10-26T19:13:12Z,Evolving Algebras and Partial Evaluation,James K. Huggins,cs.SE,http://arxiv.org/pdf/cs/9810024v1
cs/9810025v1,1998-10-26T19:19:04Z,An Offline Partial Evaluator for Evolving Algebras,James K. Huggins,cs.SE,http://arxiv.org/pdf/cs/9810025v1
cs/9810026v1,1998-10-26T19:24:37Z,The Railroad Crossing Problem: An Experiment with Instantaneous Actions   and Immediate Reactions,James K. Huggins,cs.SE,http://arxiv.org/pdf/cs/9810026v1
cs/9811007v1,1998-11-02T19:34:17Z,Second Product Line Practice Workshop Report,J. Withey,cs.SE,http://arxiv.org/pdf/cs/9811007v1
cs/9811011v1,1998-11-04T14:32:22Z,Case Study in Survivable Network System Analysis,Nancy Mead,cs.SE,http://arxiv.org/pdf/cs/9811011v1
cs/9811014v1,1998-11-09T19:32:38Z,Abstract State Machines 1988-1998: Commented ASM Bibliography,James K. Huggins,cs.SE,http://arxiv.org/pdf/cs/9811014v1
cs/9902008v1,1999-02-05T12:01:56Z,Managing Object-Oriented Integration and Regression Testing,Mario Winter,cs.SE,http://arxiv.org/pdf/cs/9902008v1
cs/9903018v1,1999-03-30T11:28:44Z,LuaJava - A Scripting Tool for Java,Noemi Rodriguez,cs.SE,http://arxiv.org/pdf/cs/9903018v1
cs/9906030v1,1999-06-28T17:30:59Z,SCR3: towards usability of formal methods,M. Chechik,cs.SE,http://arxiv.org/pdf/cs/9906030v1
cs/9906031v1,1999-06-28T18:06:27Z,Events in Linear-Time Properties,M. Chechik,cs.SE,http://arxiv.org/pdf/cs/9906031v1
cs/9906032v1,1999-06-29T15:29:42Z,Formal Modeling in a Commercial Setting: A Case Study,M. Chechik,cs.SE,http://arxiv.org/pdf/cs/9906032v1
cs/9907019v1,1999-07-12T13:34:21Z,A Reasonable C++ Wrappered Java Native Interface,Craig Bordelon,cs.SE,http://arxiv.org/pdf/cs/9907019v1
cs/9912018v1,1999-12-24T15:59:23Z,Computation in an algebra of test selection criteria,Shmuel Zaks,cs.SE,http://arxiv.org/pdf/cs/9912018v1
cs/0011029v1,2000-11-21T08:09:10Z,Systematic Debugging of Attribute Grammars,Masataka Sassa,cs.SE,http://arxiv.org/pdf/cs/0011029v1
cs/0012009v1,2000-12-14T13:49:52Z,Finding Failure Causes through Automated Testing,Andreas Zeller,cs.SE,http://arxiv.org/pdf/cs/0012009v1
cs/0012014v1,2000-12-18T11:59:31Z,Slicing of Constraint Logic Programs,Jan Maluszynski,cs.SE,http://arxiv.org/pdf/cs/0012014v1
cs/0105008v1,2001-05-05T08:09:08Z,Applying Slicing Technique to Software Architectures,Jianjun Zhao,cs.SE,http://arxiv.org/pdf/cs/0105008v1
cs/0105009v1,2001-05-05T08:41:43Z,Using Dependence Analysis to Support Software Architecture Understanding,Jianjun Zhao,cs.SE,http://arxiv.org/pdf/cs/0105009v1
cs/0105010v1,2001-05-05T09:18:11Z,On Assessing the Complexity of Software Architectures,Jianjun Zhao,cs.SE,http://arxiv.org/pdf/cs/0105010v1
cs/0109019v1,2001-09-14T15:12:51Z,Tracing Execution of Software for Design Coverage,Alexander Ran,cs.SE,http://arxiv.org/pdf/cs/0109019v1
cs/0111013v1,2001-11-06T22:12:14Z,"Quality Control, Testing and Deployment Results in NIF ICCS",Michael R. Gorvad,cs.SE,http://arxiv.org/pdf/cs/0111013v1
cs/0111014v1,2001-11-07T10:01:57Z,Visual DCT - Visual EPICS Database Configuration Tool,A. Luedeke,cs.SE,http://arxiv.org/pdf/cs/0111014v1
cs/0111016v1,2001-11-07T21:50:43Z,Application Software Structure Enables Nif Operations Kirby W. Fong,Randy T. Shelton,cs.SE,http://arxiv.org/pdf/cs/0111016v1
cs/0111019v2,2001-11-08T19:00:26Z,Application of digital regulated Power Supplies for Magnet Control at   the Swiss Light Source,A. Luedeke,cs.SE,http://arxiv.org/pdf/cs/0111019v2
cs/0111021v3,2001-11-09T14:35:51Z,System Integration of High Level Applications during the Commissioning   of the Swiss Light Source,A. Luedeke,cs.SE,http://arxiv.org/pdf/cs/0111021v3
cs/0111045v1,2001-11-16T22:04:52Z,The Overview of the National Ignition Facility Distributed Computer   Control System,J. P. Woodruff,cs.SE,http://arxiv.org/pdf/cs/0111045v1
cs/0201023v1,2002-01-26T11:32:31Z,Model-Based Software Engineering and Ada: Synergy for the Development of   Safety-Critical Systems,Hans-Peter Zaengerl,cs.SE,http://arxiv.org/pdf/cs/0201023v1
cs/0201028v1,2002-01-30T22:28:52Z,Software Validation using Power Profiles,Alexander Ran,cs.SE,http://arxiv.org/pdf/cs/0201028v1
cs/0204014v1,2002-04-09T09:33:44Z,An Assessment of the Consistency for Software Measurement Methods,F. Torre Cervigon,cs.SE,http://arxiv.org/pdf/cs/0204014v1
cs/0204034v1,2002-04-15T23:33:24Z,Monitoring and Debugging Concurrent and Distributed Object-Oriented   Systems,Joseph R. Kiniry,cs.SE,http://arxiv.org/pdf/cs/0204034v1
cs/0204035v1,2002-04-15T23:40:52Z,Semantic Properties for Lightweight Specification in Knowledgeable   Development Environments,Joseph R. Kiniry,cs.SE,http://arxiv.org/pdf/cs/0204035v1
cs/0204036v1,2002-04-15T23:50:42Z,Semantic Component Composition,Joseph R. Kiniry,cs.SE,http://arxiv.org/pdf/cs/0204036v1
cs/0206021v1,2002-06-14T09:24:53Z,The analysis of the IFPUG method sensitivity,F. Torre Cervigon,cs.SE,http://arxiv.org/pdf/cs/0206021v1
cs/0207044v3,2002-07-11T16:57:59Z,Declarative program development in Prolog with GUPU,Stefan Kral,cs.SE,http://arxiv.org/pdf/cs/0207044v3
cs/0207046v2,2002-07-11T16:25:20Z,COINS: a constraint-based interactive solving system,Patrice Boizumault,cs.SE,http://arxiv.org/pdf/cs/0207046v2
cs/0207047v2,2002-07-11T16:43:30Z,Tracing and Explaining Execution of CLP(FD) Programs,Mats Carlsson,cs.SE,http://arxiv.org/pdf/cs/0207047v2
cs/0207048v2,2002-07-11T18:05:59Z,CLPGUI: a generic graphical user interface for constraint logic   programming over finite domains,Francois Fages,cs.SE,http://arxiv.org/pdf/cs/0207048v2
cs/0207049v2,2002-07-11T16:50:45Z,More Precise Yet Efficient Type Inference for Logic Programs,Francisco Bueno,cs.SE,http://arxiv.org/pdf/cs/0207049v2
cs/0207050v2,2002-07-11T16:52:49Z,Value withdrawal explanations: a theoretical tool for programming   environments,Willy Lesaint,cs.SE,http://arxiv.org/pdf/cs/0207050v2
cs/0207051v2,2002-07-11T17:17:17Z,Exporting Prolog source code,Nicos Angelopoulos,cs.SE,http://arxiv.org/pdf/cs/0207051v2
cs/0207052v1,2002-07-12T01:23:51Z,Proceedings of the 12th International Workshop on Logic Programming   Environments,Alexandre Tessier,cs.SE,http://arxiv.org/pdf/cs/0207052v1
cs/0207053v1,2002-07-12T01:22:20Z,An Architecture for Making Object-Oriented Systems Available from Prolog,Anjo Anjewierden,cs.SE,http://arxiv.org/pdf/cs/0207053v1
cs/0207054v1,2002-07-12T01:17:13Z,Enhancing Usefulness of Declarative Programming Frameworks through   Complete Integration,Olof Torgersson,cs.SE,http://arxiv.org/pdf/cs/0207054v1
cs/0303013v2,2003-03-18T15:51:06Z,Extending the code generation capabilities of the Together CASE tool to   support Data Definition languages,Massimo Marino,cs.SE,http://arxiv.org/pdf/cs/0303013v2
cs/0305037v2,2003-05-20T10:21:17Z,Power Law Distributions in Class Relationships,Steve Counsell,cs.SE,http://arxiv.org/pdf/cs/0305037v2
cs/0305049v1,2003-05-28T15:16:08Z,The Athena Data Dictionary and Description Language,Craig Tull,cs.SE,http://arxiv.org/pdf/cs/0305049v1
cs/0306005v1,2003-05-30T21:59:14Z,The Virtual Monte Carlo,for the ALICE Collaboration,cs.SE,http://arxiv.org/pdf/cs/0306005v1
cs/0306054v1,2003-06-12T17:08:34Z,OVAL: the CMS Testing Robot,C. Charlot,cs.SE,http://arxiv.org/pdf/cs/0306054v1
cs/0306057v1,2003-06-12T17:31:32Z,IceCube's Development Environment,D. Glowacki,cs.SE,http://arxiv.org/pdf/cs/0306057v1
cs/0306076v1,2003-06-13T21:36:06Z,FAYE: A Java Implement of the Frame/Stream/Stop Analysis Model,S. Patton,cs.SE,http://arxiv.org/pdf/cs/0306076v1
cs/0306078v1,2003-06-16T17:22:59Z,ROOT Status and Future Developments,Rene Brun,cs.SE,http://arxiv.org/pdf/cs/0306078v1
cs/0306080v1,2003-06-14T00:07:06Z,BOA: Framework for Automated Builds,N. Ratnikova,cs.SE,http://arxiv.org/pdf/cs/0306080v1
cs/0306082v1,2003-06-14T01:16:51Z,The Community Authorization Service: Status and Future,S. Tuecke,cs.SE,http://arxiv.org/pdf/cs/0306082v1
cs/0306083v1,2003-06-14T03:03:11Z,The Athena Startup Kit,W. T. L. P. Lavrijsen,cs.SE,http://arxiv.org/pdf/cs/0306083v1
cs/0306085v1,2003-06-14T02:57:32Z,GANGA: a user-Grid interface for Atlas and LHCb,R. W. L. Jones,cs.SE,http://arxiv.org/pdf/cs/0306085v1
cs/0306089v1,2003-06-14T06:56:24Z,The StoreGate: a Data Model for the Atlas Software Architecture,S. Rajagopalan,cs.SE,http://arxiv.org/pdf/cs/0306089v1
cs/0306098v1,2003-06-16T12:19:18Z,Making refactoring decisions in large-scale Java systems: an empirical   stance,Steve Counsell,cs.SE,http://arxiv.org/pdf/cs/0306098v1
cs/0306101v1,2003-06-16T17:25:53Z,The DataFlow System of the ATLAS Trigger and DAQ,G. Lehmann,cs.SE,http://arxiv.org/pdf/cs/0306101v1
cs/0306108v1,2003-06-18T03:13:44Z,Web Engineering,Bebo White,cs.SE,http://arxiv.org/pdf/cs/0306108v1
cs/0309029v1,2003-09-16T13:55:32Z,Instrumenting self-modifying code,K. De Bosschere,cs.SE,http://arxiv.org/pdf/cs/0309029v1
cs/0309031v1,2003-09-17T06:35:44Z,Timestamp Based Execution Control for C and Java Programs,Minoru Terada,cs.SE,http://arxiv.org/pdf/cs/0309031v1
cs/0309032v1,2003-09-17T12:42:58Z,Towards declarative diagnosis of constraint programs over finite domains,Alexandre Tessier,cs.SE,http://arxiv.org/pdf/cs/0309032v1
cs/0309037v1,2003-09-22T00:52:59Z,Postmortem Object Type Identification,Bryan M. Cantrill,cs.SE,http://arxiv.org/pdf/cs/0309037v1
cs/0309047v1,2003-09-24T12:51:18Z,Causes and Effects in Computer Programs,Andreas Zeller,cs.SE,http://arxiv.org/pdf/cs/0309047v1
cs/0309055v1,2003-09-30T01:19:11Z,A mathematical framework for automated bug localization,Tadanori Mizuno,cs.SE,http://arxiv.org/pdf/cs/0309055v1
cs/0310007v1,2003-10-06T11:51:15Z,Event-based Program Analysis with DeWiz,J. Volkert,cs.SE,http://arxiv.org/pdf/cs/0310007v1
